layer,linear,K,N,x_chan_spread,w_chan_spread,sym_base,t1w_base,asym_base,wonly_base,sym_awq.25,t1w_awq.25,asym_awq.25,wonly_awq.25,sym_awq.5,t1w_awq.5,asym_awq.5,wonly_awq.5,sym_wflat.5,t1w_wflat.5,asym_wflat.5,wonly_wflat.5,sym_wflat1,t1w_wflat1,asym_wflat1,wonly_wflat1,sym_mix,t1w_mix,asym_mix,wonly_mix
0,self_attn.q_proj,5120,5120,10.13,1.761,23.143,16.335,24.368,23.206,22.3,15.311,23.956,22.321,19.708,13.245,22.403,19.718,23.14,16.62,24.293,23.232,22.866,16.75,23.956,23.004,22.984,16.016,24.348,23.024
0,self_attn.k_proj,5120,1024,10.13,1.615,23.34,16.385,24.562,23.4,22.535,15.448,24.222,22.559,20.352,13.683,22.859,20.36,23.357,16.608,24.558,23.446,23.17,16.732,24.324,23.312,23.065,15.957,24.493,23.101
0,self_attn.v_proj,5120,1024,10.13,1.211,21.784,16.744,22.923,21.85,21.877,16.515,23.06,21.91,21.076,15.971,22.658,21.095,21.939,16.739,23.016,21.99,21.948,16.673,23.112,21.992,21.808,16.429,23.063,21.835
0,self_attn.o_proj,5120,5120,93.16,2.07,18.525,14.972,19.478,18.608,20.744,13.582,22.141,20.786,20.062,12.477,21.669,20.088,19.372,15.709,20.615,19.44,19.977,16.082,21.225,20.06,21.616,14.193,23.042,21.659
0,mlp.gate_proj,5120,27648,11.91,1.497,23.072,16.036,24.355,23.116,22.059,14.429,23.649,22.076,19.854,12.23,21.75,19.86,23.063,16.442,24.265,23.121,22.736,16.642,23.89,22.809,22.669,15.204,24.14,22.693
0,mlp.up_proj,5120,27648,11.91,1.335,21.966,16.434,23.154,22.015,21.542,15.348,22.937,21.563,19.831,13.525,21.468,19.839,21.938,16.58,23.095,21.988,21.697,16.613,22.866,21.751,21.798,15.684,23.152,21.823
0,mlp.down_proj,27648,5120,41.2,1.519,20.274,15.985,21.427,20.715,21.136,15.06,22.449,21.516,20.211,13.171,21.975,20.453,20.235,16.202,21.365,20.68,20.1,16.336,21.224,20.544,21.156,15.325,22.453,21.548
1,self_attn.q_proj,5120,5120,1277.32,56.554,28.103,11.448,29.717,28.143,27.066,12.113,29.217,27.079,23.912,12.567,26.765,23.911,27.304,11.44,28.386,27.514,21.346,16.224,22.374,21.674,29.159,11.256,30.715,29.2
1,self_attn.k_proj,5120,1024,1277.32,12.455,29.017,11.317,30.406,29.094,29.233,12.34,30.857,29.254,25.624,11.816,28.381,25.624,28.262,13.203,29.542,28.463,24.615,16.733,25.311,24.858,30.215,11.126,31.705,30.263
1,self_attn.v_proj,5120,1024,1277.32,2.672,17.484,12.879,18.868,17.628,20.737,11.454,22.216,20.786,20.385,12.839,22.181,20.392,19.157,14.663,20.45,19.29,19.427,16.376,20.626,19.559,21.666,10.873,23.228,21.708
1,self_attn.o_proj,5120,5120,35.45,1.871,27.256,15.174,28.299,27.302,27.402,13.592,28.734,27.419,25.055,12.133,27.029,25.057,27.135,15.959,28.154,27.198,26.399,16.548,27.429,26.482,27.723,14.187,28.968,27.734
1,mlp.gate_proj,5120,27648,711.38,18.155,35.817,11.899,38.171,35.804,28.188,12.022,30.62,28.238,24.828,14.644,26.113,24.803,32.509,13.771,33.819,33.712,23.289,15.447,23.929,26.169,35.834,11.727,38.528,35.864
