layer,linear,config,M,N,K,tier1_x_db,tier1_w_db,tier2_db
0,self_attn.q_proj,w8a8,2048,5120,5120,31.642,40.288,37.961
0,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,34.783,41.507,40.741
0,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,34.783,16.335,23.143
0,self_attn.q_proj,w4a8-pc,2048,5120,5120,31.642,15.116,21.872
0,self_attn.k_proj,w8a8,2048,1024,5120,31.642,40.277,38.068
0,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,34.783,41.552,40.806
0,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,34.783,16.385,23.34
0,self_attn.k_proj,w4a8-pc,2048,1024,5120,31.642,15.117,21.998
0,self_attn.v_proj,w8a8,2048,1024,5120,31.642,40.91,36.132
0,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,34.783,41.913,39.042
0,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,34.783,16.744,21.784
0,self_attn.v_proj,w4a8-pc,2048,1024,5120,31.642,15.732,20.707
0,self_attn.o_proj,w8a8,2048,5120,5120,26.277,38.408,30.309
0,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,31.199,40.122,34.846
0,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,31.199,14.972,18.525
0,self_attn.o_proj,w4a8-pc,2048,5120,5120,26.277,13.294,17.026
0,mlp.gate_proj,w8a8,2048,27648,5120,33.971,39.787,39.91
0,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,35.719,41.204,41.53
0,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,35.719,16.036,23.072
0,mlp.gate_proj,w4a8-pc,2048,27648,5120,33.971,14.622,21.629
0,mlp.up_proj,w8a8,2048,27648,5120,33.971,40.409,38.575
0,mlp.up_proj,w8a8-mg1024,2048,27648,5120,35.719,41.604,40.174
0,mlp.up_proj,w4a8-mg1024,2048,27648,5120,35.719,16.434,21.966
0,mlp.up_proj,w4a8-pc,2048,27648,5120,33.971,15.237,20.746
0,mlp.down_proj,w8a8,2048,5120,27648,14.465,38.141,17.095
0,mlp.down_proj,w8a8-mg1024,2048,5120,27648,25.97,41.157,30.324
0,mlp.down_proj,w4a8-mg1024,2048,5120,27648,25.97,15.985,20.274
0,mlp.down_proj,w4a8-pc,2048,5120,27648,14.465,12.991,14.669
1,self_attn.q_proj,w8a8,2048,5120,5120,27.66,28.255,43.049
1,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,30.318,31.655,46.201
1,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,30.318,11.448,28.103
1,self_attn.q_proj,w4a8-pc,2048,5120,5120,27.66,9.408,24.12
1,self_attn.k_proj,w8a8,2048,1024,5120,27.66,33.191,42.138
1,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,30.318,34.987,45.119
1,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,30.318,11.317,29.017
1,self_attn.k_proj,w4a8-pc,2048,1024,5120,27.66,10.017,27.06
1,self_attn.v_proj,w8a8,2048,1024,5120,27.66,36.515,29.39
1,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,30.318,37.993,32.332
1,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,30.318,12.879,17.484
1,self_attn.v_proj,w4a8-pc,2048,1024,5120,27.66,11.442,15.94
1,self_attn.o_proj,w8a8,2048,5120,5120,30.12,38.199,41.754
1,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,33.941,40.344,44.988
1,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,33.941,15.174,27.256
1,self_attn.o_proj,w4a8-pc,2048,5120,5120,30.12,13.046,25.002
1,mlp.gate_proj,w8a8,2048,27648,5120,24.459,31.067,47.604
1,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,27.978,33.486,51.044
1,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,27.978,11.899,35.817
1,mlp.gate_proj,w4a8-pc,2048,27648,5120,24.459,10.117,30.719
1,mlp.up_proj,w8a8,2048,27648,5120,24.459,33.481,33.877
1,mlp.up_proj,w8a8-mg1024,2048,27648,5120,27.978,36.224,38.186
1,mlp.up_proj,w4a8-mg1024,2048,27648,5120,27.978,12.595,24.612
1,mlp.up_proj,w4a8-pc,2048,27648,5120,24.459,10.26,21.029
1,mlp.down_proj,w8a8,2048,5120,27648,25.672,29.166,9.21
1,mlp.down_proj,w8a8-mg1024,2048,5120,27648,30.664,32.839,14.5
1,mlp.down_proj,w4a8-mg1024,2048,5120,27648,30.664,10.737,13.162
1,mlp.down_proj,w4a8-pc,2048,5120,27648,25.672,8.807,8.683
