layer,linear,config,M,N,K,tier1_x_db,tier1_w_db,tier2_db
0,self_attn.q_proj,w8a8,2048,5120,5120,30.317,40.288,37.192
0,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,33.439,41.507,40.063
0,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,33.439,16.335,23.556
0,self_attn.q_proj,w4a8-pc,2048,5120,5120,30.317,15.116,22.285
0,self_attn.k_proj,w8a8,2048,1024,5120,30.317,40.277,37.189
0,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,33.439,41.552,39.898
0,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,33.439,16.385,23.589
0,self_attn.k_proj,w4a8-pc,2048,1024,5120,30.317,15.117,22.252
0,self_attn.v_proj,w8a8,2048,1024,5120,30.317,40.91,34.949
0,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,33.439,41.913,37.852
0,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,33.439,16.744,21.712
0,self_attn.v_proj,w4a8-pc,2048,1024,5120,30.317,15.732,20.653
0,self_attn.o_proj,w8a8,2048,5120,5120,26.036,38.408,30.383
0,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,30.91,40.122,34.854
0,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,30.91,14.972,18.676
0,self_attn.o_proj,w4a8-pc,2048,5120,5120,26.036,13.294,17.254
0,mlp.gate_proj,w8a8,2048,27648,5120,31.916,39.787,38.284
0,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,34.855,41.204,40.913
0,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,34.855,16.036,23.103
0,mlp.gate_proj,w4a8-pc,2048,27648,5120,31.916,14.622,21.637
0,mlp.up_proj,w8a8,2048,27648,5120,31.916,40.409,36.83
0,mlp.up_proj,w8a8-mg1024,2048,27648,5120,34.855,41.604,39.466
0,mlp.up_proj,w4a8-mg1024,2048,27648,5120,34.855,16.434,21.933
0,mlp.up_proj,w4a8-pc,2048,27648,5120,31.916,15.237,20.697
0,mlp.down_proj,w8a8,2048,5120,27648,14.529,38.141,17.655
0,mlp.down_proj,w8a8-mg1024,2048,5120,27648,25.818,41.157,30.487
0,mlp.down_proj,w4a8-mg1024,2048,5120,27648,25.818,15.985,20.56
0,mlp.down_proj,w4a8-pc,2048,5120,27648,14.529,12.991,15.112
1,self_attn.q_proj,w8a8,2048,5120,5120,27.893,28.255,43.048
1,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,30.379,31.655,46.05
1,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,30.379,11.448,27.835
1,self_attn.q_proj,w4a8-pc,2048,5120,5120,27.893,9.408,23.893
1,self_attn.k_proj,w8a8,2048,1024,5120,27.893,33.191,42.051
1,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,30.379,34.987,44.854
1,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,30.379,11.317,28.668
1,self_attn.k_proj,w4a8-pc,2048,1024,5120,27.893,10.017,26.736
1,self_attn.v_proj,w8a8,2048,1024,5120,27.893,36.515,29.776
1,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,30.379,37.993,32.55
1,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,30.379,12.879,17.632
1,self_attn.v_proj,w4a8-pc,2048,1024,5120,27.893,11.442,16.109
1,self_attn.o_proj,w8a8,2048,5120,5120,30.112,38.199,41.807
1,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,33.744,40.344,44.921
1,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,33.744,15.174,27.263
1,self_attn.o_proj,w4a8-pc,2048,5120,5120,30.112,13.046,25.115
1,mlp.gate_proj,w8a8,2048,27648,5120,24.291,31.067,47.013
1,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,27.941,33.486,50.771
1,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,27.941,11.899,36.012
1,mlp.gate_proj,w4a8-pc,2048,27648,5120,24.291,10.117,30.748
1,mlp.up_proj,w8a8,2048,27648,5120,24.291,33.481,33.515
1,mlp.up_proj,w8a8-mg1024,2048,27648,5120,27.941,36.224,38.06
1,mlp.up_proj,w4a8-mg1024,2048,27648,5120,27.941,12.595,24.705
1,mlp.up_proj,w4a8-pc,2048,27648,5120,24.291,10.26,21.097
1,mlp.down_proj,w8a8,2048,5120,27648,25.663,29.166,9.399
1,mlp.down_proj,w8a8-mg1024,2048,5120,27648,30.769,32.839,14.569
1,mlp.down_proj,w4a8-mg1024,2048,5120,27648,30.769,10.737,13.277
1,mlp.down_proj,w4a8-pc,2048,5120,27648,25.663,8.807,8.862
2,self_attn.q_proj,w8a8,2048,5120,5120,25.879,33.09,38.432
2,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,29.667,35.33,42.17
2,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,29.667,12.511,25.863
2,self_attn.q_proj,w4a8-pc,2048,5120,5120,25.879,10.631,23.323
2,self_attn.k_proj,w8a8,2048,1024,5120,25.879,34.324,38.549
2,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,29.667,36.222,42.317
2,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,29.667,12.989,26.626
2,self_attn.k_proj,w4a8-pc,2048,1024,5120,25.879,11.335,24.437
2,self_attn.v_proj,w8a8,2048,1024,5120,25.879,38.535,27.411
2,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,29.667,39.759,31.253
2,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,29.667,14.875,18.128
2,self_attn.v_proj,w4a8-pc,2048,1024,5120,25.879,13.731,16.857
2,self_attn.o_proj,w8a8,2048,5120,5120,31.459,39.031,36.717
