proj,M,N,K,bf16_us,stock_us,midgroup_us
qkv,1,7168,5120,37.360,97.699,163.970
qkv,4,7168,5120,33.052,95.930,152.484
qkv,16,7168,5120,39.419,97.197,89.997
qkv,64,7168,5120,41.811,101.331,93.160
qkv,128,7168,5120,53.620,103.833,92.506
qkv,256,7168,5120,101.718,127.608,100.722
o,1,5120,5120,25.974,79.370,149.219
o,4,5120,5120,25.686,79.090,150.729
o,16,5120,5120,32.305,79.739,94.060
o,64,5120,5120,29.877,81.485,92.005
o,128,5120,5120,37.805,86.170,107.874
o,256,5120,5120,69.978,96.590,138.291
gate_up,1,55296,5120,453.517,680.701,169.141
gate_up,4,55296,5120,454.893,681.826,169.342
gate_up,16,55296,5120,467.869,688.738,151.342
gate_up,64,55296,5120,535.055,716.624,207.018
gate_up,128,55296,5120,598.937,819.527,286.644
gate_up,256,55296,5120,998.107,912.901,559.628
down,1,5120,27648,332.560,718.100,146.400
down,4,5120,27648,347.549,716.114,144.002
down,16,5120,27648,397.711,717.003,87.740
down,64,5120,27648,522.253,721.140,108.578
down,128,5120,27648,448.097,759.394,177.734
down,256,5120,27648,433.473,851.285,323.610
