arm,layers,tp,graph,cudagraph_mode,batch,total_s,gen_tok,step_us,per_layer_us
bf16,4,1,aclgraph,FULL_DECODE_ONLY,1,0.5256,64,8212.94,2053.235
bf16,4,1,aclgraph,FULL_DECODE_ONLY,16,0.6592,1024,10300.16,2575.041
bf16,4,1,aclgraph,FULL_DECODE_ONLY,64,0.9826,4096,15352.38,3838.094
bf16,4,1,aclgraph,FULL_DECODE_ONLY,128,1.2696,8192,19836.96,4959.240
w8a8-native,4,1,aclgraph,FULL_DECODE_ONLY,1,0.4386,64,6853.30,1713.325
w8a8-native,4,1,aclgraph,FULL_DECODE_ONLY,16,0.5670,1024,8859.70,2214.924
w8a8-native,4,1,aclgraph,FULL_DECODE_ONLY,64,0.8524,4096,13318.26,3329.566
w8a8-native,4,1,aclgraph,FULL_DECODE_ONLY,128,1.2049,8192,18826.79,4706.697
w4a8-native,4,1,aclgraph,FULL_DECODE_ONLY,1,0.3778,64,5903.34,1475.836
w4a8-native,4,1,aclgraph,FULL_DECODE_ONLY,16,0.5891,1024,9204.96,2301.239
w4a8-native,4,1,aclgraph,FULL_DECODE_ONLY,64,1.0833,4096,16926.07,4231.518
w4a8-native,4,1,aclgraph,FULL_DECODE_ONLY,128,1.4482,8192,22627.57,5656.894
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,1,0.4045,64,6320.59,1580.146
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,16,0.5168,1024,8074.85,2018.713
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,64,0.8133,4096,12707.44,3176.859
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,128,1.1362,8192,17753.55,4438.386
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,1,0.3584,64,5599.88,1399.971
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,16,0.4875,1024,7616.81,1904.202
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,64,0.7813,4096,12207.23,3051.807
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,128,1.1892,8192,18580.59,4645.148
bf16,16,1,aclgraph,FULL_DECODE_ONLY,1,1.3492,64,21081.62,1317.601
bf16,16,1,aclgraph,FULL_DECODE_ONLY,16,1.6538,1024,25840.07,1615.005
bf16,16,1,aclgraph,FULL_DECODE_ONLY,64,2.1987,4096,34355.12,2147.195
bf16,16,1,aclgraph,FULL_DECODE_ONLY,128,2.5818,8192,40340.25,2521.266
w8a8-native,16,1,aclgraph,FULL_DECODE_ONLY,1,1.0466,64,16353.05,1022.066
w8a8-native,16,1,aclgraph,FULL_DECODE_ONLY,16,1.3117,1024,20495.83,1280.989
w8a8-native,16,1,aclgraph,FULL_DECODE_ONLY,64,1.7808,4096,27824.63,1739.040
w8a8-native,16,1,aclgraph,FULL_DECODE_ONLY,128,2.1443,8192,33504.89,2094.055
w4a8-native,16,1,aclgraph,FULL_DECODE_ONLY,1,0.7168,64,11199.68,699.980
w4a8-native,16,1,aclgraph,FULL_DECODE_ONLY,16,1.2975,1024,20273.09,1267.068
w4a8-native,16,1,aclgraph,FULL_DECODE_ONLY,64,2.6121,4096,40814.75,2550.922
w4a8-native,16,1,aclgraph,FULL_DECODE_ONLY,128,3.1653,8192,49457.09,3091.068
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,1,0.7771,64,12142.50,758.906
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,16,0.9740,1024,15218.91,951.182
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,64,1.4510,4096,22672.51,1417.032
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,128,1.8528,8192,28949.28,1809.330
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,1,0.6716,64,10493.22,655.826
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,16,0.8866,1024,13852.41,865.776
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,64,1.3426,4096,20978.78,1311.174
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,128,1.9468,8192,30418.05,1901.128
bf16,4,1,aclgraph,FULL_DECODE_ONLY,32,0.8233,2048,12864.01,3216.003
bf16,4,1,aclgraph,FULL_DECODE_ONLY,96,1.1750,6144,18359.65,4589.912
bf16,4,1,aclgraph,FULL_DECODE_ONLY,192,1.7293,12288,27019.85,6754.963
bf16,4,1,aclgraph,FULL_DECODE_ONLY,256,2.0838,16384,32559.34,8139.835
w4a8-native,4,1,aclgraph,FULL_DECODE_ONLY,32,0.9312,2048,14549.59,3637.398
w4a8-native,4,1,aclgraph,FULL_DECODE_ONLY,96,1.3578,6144,21216.13,5304.032
w4a8-native,4,1,aclgraph,FULL_DECODE_ONLY,192,1.9064,12288,29787.32,7446.830
w4a8-native,4,1,aclgraph,FULL_DECODE_ONLY,256,2.1791,16384,34049.09,8512.273
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,32,0.6039,2048,9435.44,2358.861
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,96,0.9400,6144,14687.48,3671.870
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,192,1.5150,12288,23672.50,5918.125
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,256,1.8444,16384,28818.17,7204.542
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,32,0.6023,2048,9411.61,2352.901
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,96,0.9673,6144,15114.77,3778.693
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,192,1.6142,12288,25222.32,6305.580
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,256,1.9322,16384,30191.33,7547.832
bf16,16,1,aclgraph,FULL_DECODE_ONLY,32,1.8769,2048,29327.10,1832.943
bf16,16,1,aclgraph,FULL_DECODE_ONLY,96,2.5392,6144,39675.22,2479.701
bf16,16,1,aclgraph,FULL_DECODE_ONLY,192,3.3907,12288,52979.10,3311.194
bf16,16,1,aclgraph,FULL_DECODE_ONLY,256,3.9094,16384,61084.91,3817.807
w4a8-native,16,1,aclgraph,FULL_DECODE_ONLY,32,2.3698,2048,37028.61,2314.288
w4a8-native,16,1,aclgraph,FULL_DECODE_ONLY,96,2.8687,6144,44823.75,2801.484
w4a8-native,16,1,aclgraph,FULL_DECODE_ONLY,192,3.7213,12288,58144.81,3634.051
w4a8-native,16,1,aclgraph,FULL_DECODE_ONLY,256,4.2365,16384,66194.61,4137.163
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,32,1.1317,2048,17682.47,1105.155
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,96,1.6194,6144,25303.38,1581.461
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,192,2.4671,12288,38547.90,2409.244
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,256,2.9935,16384,46772.78,2923.299
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,32,1.1218,2048,17528.55,1095.535
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,96,1.7419,6144,27216.67,1701.042
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,192,2.9189,12288,45608.31,2850.520
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,256,3.3268,16384,51980.92,3248.807
