arm,layers,tp,graph,cudagraph_mode,batch,total_s,gen_tok,step_us,per_layer_us
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,1,0.3922,64,6127.72,1531.930
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,1,0.3722,64,5815.38,1453.844
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,1,0.7906,64,12353.47,772.092
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,1,0.6629,64,10357.91,647.369
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,1,0.3992,64,6237.67,1559.418
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,1,0.3702,64,5784.39,1446.097
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,1,0.7937,64,12401.09,775.068
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,1,0.6774,64,10585.01,661.563
w8a8,4,1,aclgraph,FULL_DECODE_ONLY,1,0.3950,64,6171.99,1542.998
w4a8,4,1,aclgraph,FULL_DECODE_ONLY,1,0.3663,64,5724.08,1431.020
w8a8,16,1,aclgraph,FULL_DECODE_ONLY,1,0.7869,64,12294.57,768.411
w4a8,16,1,aclgraph,FULL_DECODE_ONLY,1,0.6693,64,10458.00,653.625
