proj,variant,gk,M,N,K,tileM,avg_us
qkv,w8a8,-,1,7168,5120,16,41.09
qkv,w4a8_pc,inf,1,7168,5120,16,28.52
qkv,w4a8_mg,1024,1,7168,5120,16,36.30
qkv,w4a8_mg,512,1,7168,5120,16,56.17
qkv,w4a8_mg,256,1,7168,5120,16,92.22
qkv,w8a8,-,16,7168,5120,16,41.15
qkv,w4a8_pc,inf,16,7168,5120,16,28.73
qkv,w4a8_mg,1024,16,7168,5120,16,36.49
qkv,w4a8_mg,512,16,7168,5120,16,56.44
qkv,w4a8_mg,256,16,7168,5120,16,92.41
qkv,w8a8,-,64,7168,5120,64,46.59
qkv,w4a8_pc,inf,64,7168,5120,64,35.25
qkv,w4a8_mg,1024,64,7168,5120,64,45.46
qkv,w4a8_mg,512,64,7168,5120,64,67.56
qkv,w4a8_mg,256,64,7168,5120,64,110.37
qkv,w8a8,-,512,7168,5120,128,121.68
qkv,w4a8_pc,inf,512,7168,5120,128,106.88
qkv,w4a8_mg,1024,512,7168,5120,128,158.34
qkv,w4a8_mg,512,512,7168,5120,128,267.43
qkv,w4a8_mg,256,512,7168,5120,128,502.33
qkv,w8a8,-,1024,7168,5120,128,208.24
qkv,w4a8_pc,inf,1024,7168,5120,128,187.72
qkv,w4a8_mg,1024,1024,7168,5120,128,289.21
qkv,w4a8_mg,512,1024,7168,5120,128,502.94
qkv,w4a8_mg,256,1024,7168,5120,128,957.24
o,w8a8,-,1,5120,5120,16,32.17
o,w4a8_pc,inf,1,5120,5120,16,24.64
o,w4a8_mg,1024,1,5120,5120,16,29.75
o,w4a8_mg,512,1,5120,5120,16,44.16
o,w4a8_mg,256,1,5120,5120,16,67.63
o,w8a8,-,16,5120,5120,16,33.00
o,w4a8_pc,inf,16,5120,5120,16,24.24
o,w4a8_mg,1024,16,5120,5120,16,29.69
o,w4a8_mg,512,16,5120,5120,16,43.81
o,w4a8_mg,256,16,5120,5120,16,67.92
o,w8a8,-,64,5120,5120,64,36.85
o,w4a8_pc,inf,64,5120,5120,64,29.19
o,w4a8_mg,1024,64,5120,5120,64,36.07
o,w4a8_mg,512,64,5120,5120,64,50.40
o,w4a8_mg,256,64,5120,5120,64,79.21
o,w8a8,-,512,5120,5120,128,90.16
o,w4a8_pc,inf,512,5120,5120,128,77.81
o,w4a8_mg,1024,512,5120,5120,128,112.51
o,w4a8_mg,512,512,5120,5120,128,187.23
o,w4a8_mg,256,512,5120,5120,128,346.40
o,w8a8,-,1024,5120,5120,128,158.04
o,w4a8_pc,inf,1024,5120,5120,128,136.49
o,w4a8_mg,1024,1024,5120,5120,128,208.12
o,w4a8_mg,512,1024,5120,5120,128,360.37
o,w4a8_mg,256,1024,5120,5120,128,681.81
gate_up,w8a8,-,1,55296,5120,16,248.07
gate_up,w4a8_pc,inf,1,55296,5120,16,132.06
gate_up,w4a8_mg,1024,1,55296,5120,16,185.54
gate_up,w4a8_mg,512,1,55296,5120,16,362.47
gate_up,w4a8_mg,256,1,55296,5120,16,586.20
gate_up,w8a8,-,16,55296,5120,16,248.61
gate_up,w4a8_pc,inf,16,55296,5120,16,132.58
gate_up,w4a8_mg,1024,16,55296,5120,16,185.93
gate_up,w4a8_mg,512,16,55296,5120,16,365.34
gate_up,w4a8_mg,256,16,55296,5120,16,589.84
gate_up,w8a8,-,64,55296,5120,64,285.95
gate_up,w4a8_pc,inf,64,55296,5120,64,165.22
gate_up,w4a8_mg,1024,64,55296,5120,64,242.58
gate_up,w4a8_mg,512,64,55296,5120,64,397.60
gate_up,w4a8_mg,256,64,55296,5120,64,704.39
gate_up,w8a8,-,512,55296,5120,128,1249.94
gate_up,w4a8_pc,inf,512,55296,5120,128,791.27
gate_up,w4a8_mg,1024,512,55296,5120,128,1123.30
gate_up,w4a8_mg,512,512,55296,5120,128,1955.24
gate_up,w4a8_mg,256,512,55296,5120,128,3690.85
gate_up,w8a8,-,1024,55296,5120,128,2483.22
gate_up,w4a8_pc,inf,1024,55296,5120,128,1561.84
gate_up,w4a8_mg,1024,1024,55296,5120,128,2276.06
gate_up,w4a8_mg,512,1024,55296,5120,128,3925.79
gate_up,w4a8_mg,256,1024,55296,5120,128,7412.71
down,w8a8,-,1,5120,27648,16,126.13
down,w4a8_pc,inf,1,5120,27648,16,73.97
down,w4a8_mg,1024,1,5120,27648,16,93.76
down,w4a8_mg,512,1,5120,27648,16,157.93
down,w4a8_mg,256,1,5120,27648,16,284.61
down,w8a8,-,16,5120,27648,16,126.15
down,w4a8_pc,inf,16,5120,27648,16,74.03
down,w4a8_mg,1024,16,5120,27648,16,93.91
down,w4a8_mg,512,16,5120,27648,16,158.00
down,w4a8_mg,256,16,5120,27648,16,284.57
down,w8a8,-,64,5120,27648,64,144.80
down,w4a8_pc,inf,64,5120,27648,64,99.50
down,w4a8_mg,1024,64,5120,27648,64,118.82
down,w4a8_mg,512,64,5120,27648,64,198.07
down,w4a8_mg,256,64,5120,27648,64,356.74
down,w8a8,-,512,5120,27648,128,621.95
down,w4a8_pc,inf,512,5120,27648,128,369.47
down,w4a8_mg,1024,512,5120,27648,128,525.76
down,w4a8_mg,512,512,5120,27648,128,948.65
down,w4a8_mg,256,512,5120,27648,128,1814.10
down,w8a8,-,1024,5120,27648,128,1198.71
down,w4a8_pc,inf,1024,5120,27648,128,710.85
down,w4a8_mg,1024,1024,5120,27648,128,1029.62
down,w4a8_mg,512,1024,5120,27648,128,1878.90
down,w4a8_mg,256,1024,5120,27648,128,3606.24
