proj,variant,gk,M,N,K,tileM,avg_us
qkv,w8a8,-,1,7168,5120,16,41.14
qkv,w4a8_pc,inf,1,7168,5120,16,28.54
qkv,w4a8_mg,1024,1,7168,5120,16,33.57
qkv,w4a8_mg,512,1,7168,5120,16,53.41
qkv,w4a8_mg,256,1,7168,5120,16,86.59
qkv,w8a8,-,16,7168,5120,16,40.65
qkv,w4a8_pc,inf,16,7168,5120,16,28.18
qkv,w4a8_mg,1024,16,7168,5120,16,34.14
qkv,w4a8_mg,512,16,7168,5120,16,53.44
qkv,w4a8_mg,256,16,7168,5120,16,86.89
qkv,w8a8,-,64,7168,5120,64,46.16
qkv,w4a8_pc,inf,64,7168,5120,64,35.13
qkv,w4a8_mg,1024,64,7168,5120,64,42.01
qkv,w4a8_mg,512,64,7168,5120,64,58.73
qkv,w4a8_mg,256,64,7168,5120,64,92.79
qkv,w8a8,-,512,7168,5120,128,121.12
qkv,w4a8_pc,inf,512,7168,5120,128,105.95
qkv,w4a8_mg,1024,512,7168,5120,128,148.80
qkv,w4a8_mg,512,512,7168,5120,128,216.28
qkv,w4a8_mg,256,512,7168,5120,128,406.46
qkv,w8a8,-,1024,7168,5120,128,208.17
qkv,w4a8_pc,inf,1024,7168,5120,128,188.11
qkv,w4a8_mg,1024,1024,7168,5120,128,272.70
qkv,w4a8_mg,512,1024,7168,5120,128,401.15
qkv,w4a8_mg,256,1024,7168,5120,128,766.47
o,w8a8,-,1,5120,5120,16,32.37
o,w4a8_pc,inf,1,5120,5120,16,24.09
o,w4a8_mg,1024,1,5120,5120,16,28.25
o,w4a8_mg,512,1,5120,5120,16,42.36
o,w4a8_mg,256,1,5120,5120,16,66.32
o,w8a8,-,16,5120,5120,16,32.98
o,w4a8_pc,inf,16,5120,5120,16,23.67
o,w4a8_mg,1024,16,5120,5120,16,27.77
o,w4a8_mg,512,16,5120,5120,16,42.06
o,w4a8_mg,256,16,5120,5120,16,66.11
o,w8a8,-,64,5120,5120,64,35.86
o,w4a8_pc,inf,64,5120,5120,64,29.35
o,w4a8_mg,1024,64,5120,5120,64,33.08
o,w4a8_mg,512,64,5120,5120,64,45.19
o,w4a8_mg,256,64,5120,5120,64,69.91
o,w8a8,-,512,5120,5120,128,91.37
o,w4a8_pc,inf,512,5120,5120,128,77.16
o,w4a8_mg,1024,512,5120,5120,128,109.21
o,w4a8_mg,512,512,5120,5120,128,151.02
o,w4a8_mg,256,512,5120,5120,128,277.22
o,w8a8,-,1024,5120,5120,128,157.38
o,w4a8_pc,inf,1024,5120,5120,128,136.77
o,w4a8_mg,1024,1024,5120,5120,128,195.90
o,w4a8_mg,512,1024,5120,5120,128,285.27
o,w4a8_mg,256,1024,5120,5120,128,538.61
gate_up,w8a8,-,1,55296,5120,16,247.85
gate_up,w4a8_pc,inf,1,55296,5120,16,132.93
gate_up,w4a8_mg,1024,1,55296,5120,16,177.25
gate_up,w4a8_mg,512,1,55296,5120,16,341.66
gate_up,w4a8_mg,256,1,55296,5120,16,548.00
gate_up,w8a8,-,16,55296,5120,16,249.74
gate_up,w4a8_pc,inf,16,55296,5120,16,132.88
gate_up,w4a8_mg,1024,16,55296,5120,16,177.86
gate_up,w4a8_mg,512,16,55296,5120,16,341.40
gate_up,w4a8_mg,256,16,55296,5120,16,548.09
gate_up,w8a8,-,64,55296,5120,64,285.91
gate_up,w4a8_pc,inf,64,55296,5120,64,165.30
gate_up,w4a8_mg,1024,64,55296,5120,64,201.93
gate_up,w4a8_mg,512,64,55296,5120,64,318.83
gate_up,w4a8_mg,256,64,55296,5120,64,542.56
gate_up,w8a8,-,512,55296,5120,128,1251.57
gate_up,w4a8_pc,inf,512,55296,5120,128,797.57
gate_up,w4a8_mg,1024,512,55296,5120,128,1028.67
gate_up,w4a8_mg,512,512,55296,5120,128,1539.71
gate_up,w4a8_mg,256,512,55296,5120,128,2924.32
gate_up,w8a8,-,1024,55296,5120,128,2482.20
gate_up,w4a8_pc,inf,1024,55296,5120,128,1570.51
gate_up,w4a8_mg,1024,1024,55296,5120,128,2155.27
gate_up,w4a8_mg,512,1024,55296,5120,128,3170.62
gate_up,w4a8_mg,256,1024,55296,5120,128,5797.24
down,w8a8,-,1,5120,27648,16,124.55
down,w4a8_pc,inf,1,5120,27648,16,73.11
down,w4a8_mg,1024,1,5120,27648,16,93.33
down,w4a8_mg,512,1,5120,27648,16,159.69
down,w4a8_mg,256,1,5120,27648,16,288.59
down,w8a8,-,16,5120,27648,16,124.43
down,w4a8_pc,inf,16,5120,27648,16,73.79
down,w4a8_mg,1024,16,5120,27648,16,93.39
down,w4a8_mg,512,16,5120,27648,16,159.41
down,w4a8_mg,256,16,5120,27648,16,288.70
down,w8a8,-,64,5120,27648,64,145.76
down,w4a8_pc,inf,64,5120,27648,64,99.25
down,w4a8_mg,1024,64,5120,27648,64,107.80
down,w4a8_mg,512,64,5120,27648,64,158.63
down,w4a8_mg,256,64,5120,27648,64,266.37
down,w8a8,-,512,5120,27648,128,627.47
down,w4a8_pc,inf,512,5120,27648,128,372.03
down,w4a8_mg,1024,512,5120,27648,128,514.24
down,w4a8_mg,512,512,5120,27648,128,755.12
down,w4a8_mg,256,512,5120,27648,128,1434.68
down,w8a8,-,1024,5120,27648,128,1214.29
down,w4a8_pc,inf,1024,5120,27648,128,708.08
down,w4a8_mg,1024,1024,5120,27648,128,993.86
down,w4a8_mg,512,1024,5120,27648,128,1490.54
down,w4a8_mg,256,1024,5120,27648,128,2851.97
