proj,variant,gk,M,N,K,tileM,avg_us
qkv,w8a8,-,1,7168,5120,16,41.13
qkv,w4a8_pc,inf,1,7168,5120,16,28.84
qkv,w4a8_mg_sym,1024,1,7168,5120,16,31.87
qkv,w4a8_mg_asym,1024,1,7168,5120,16,32.51
qkv,w8a8,-,16,7168,5120,16,41.06
qkv,w4a8_pc,inf,16,7168,5120,16,28.49
qkv,w4a8_mg_sym,1024,16,7168,5120,16,32.27
qkv,w4a8_mg_asym,1024,16,7168,5120,16,31.55
qkv,w8a8,-,64,7168,5120,64,46.04
qkv,w4a8_pc,inf,64,7168,5120,64,35.03
qkv,w4a8_mg_sym,1024,64,7168,5120,64,39.05
qkv,w4a8_mg_asym,1024,64,7168,5120,64,40.66
qkv,w8a8,-,512,7168,5120,128,121.15
qkv,w4a8_pc,inf,512,7168,5120,128,106.30
qkv,w4a8_mg_sym,1024,512,7168,5120,128,148.83
qkv,w4a8_mg_asym,1024,512,7168,5120,128,150.53
qkv,w8a8,-,1024,7168,5120,128,208.46
qkv,w4a8_pc,inf,1024,7168,5120,128,188.25
qkv,w4a8_mg_sym,1024,1024,7168,5120,128,271.84
qkv,w4a8_mg_asym,1024,1024,7168,5120,128,275.05
o,w8a8,-,1,5120,5120,16,31.97
o,w4a8_pc,inf,1,5120,5120,16,23.86
o,w4a8_mg_sym,1024,1,5120,5120,16,26.82
o,w4a8_mg_asym,1024,1,5120,5120,16,26.92
o,w8a8,-,16,5120,5120,16,32.95
o,w4a8_pc,inf,16,5120,5120,16,24.26
o,w4a8_mg_sym,1024,16,5120,5120,16,26.36
o,w4a8_mg_asym,1024,16,5120,5120,16,26.94
o,w8a8,-,64,5120,5120,64,36.75
o,w4a8_pc,inf,64,5120,5120,64,29.01
o,w4a8_mg_sym,1024,64,5120,5120,64,31.38
o,w4a8_mg_asym,1024,64,5120,5120,64,32.15
o,w8a8,-,512,5120,5120,128,90.83
o,w4a8_pc,inf,512,5120,5120,128,78.21
o,w4a8_mg_sym,1024,512,5120,5120,128,105.58
o,w4a8_mg_asym,1024,512,5120,5120,128,107.68
o,w8a8,-,1024,5120,5120,128,159.76
o,w4a8_pc,inf,1024,5120,5120,128,136.78
o,w4a8_mg_sym,1024,1024,5120,5120,128,195.00
o,w4a8_mg_asym,1024,1024,5120,5120,128,197.38
gate_up,w8a8,-,1,55296,5120,16,247.30
gate_up,w4a8_pc,inf,1,55296,5120,16,132.70
gate_up,w4a8_mg_sym,1024,1,55296,5120,16,150.16
gate_up,w4a8_mg_asym,1024,1,55296,5120,16,150.92
gate_up,w8a8,-,16,55296,5120,16,248.27
gate_up,w4a8_pc,inf,16,55296,5120,16,132.85
gate_up,w4a8_mg_sym,1024,16,55296,5120,16,150.15
gate_up,w4a8_mg_asym,1024,16,55296,5120,16,151.00
gate_up,w8a8,-,64,55296,5120,64,288.16
gate_up,w4a8_pc,inf,64,55296,5120,64,166.07
gate_up,w4a8_mg_sym,1024,64,55296,5120,64,202.70
gate_up,w4a8_mg_asym,1024,64,55296,5120,64,209.52
gate_up,w8a8,-,512,55296,5120,128,1253.66
gate_up,w4a8_pc,inf,512,55296,5120,128,797.89
gate_up,w4a8_mg_sym,1024,512,55296,5120,128,1028.90
gate_up,w4a8_mg_asym,1024,512,55296,5120,128,1047.45
gate_up,w8a8,-,1024,55296,5120,128,2489.75
gate_up,w4a8_pc,inf,1024,55296,5120,128,1567.50
gate_up,w4a8_mg_sym,1024,1024,55296,5120,128,2157.92
gate_up,w4a8_mg_asym,1024,1024,55296,5120,128,2195.01
down,w8a8,-,1,5120,27648,16,123.95
down,w4a8_pc,inf,1,5120,27648,16,73.05
down,w4a8_mg_sym,1024,1,5120,27648,16,77.19
down,w4a8_mg_asym,1024,1,5120,27648,16,77.43
down,w8a8,-,16,5120,27648,16,124.06
down,w4a8_pc,inf,16,5120,27648,16,73.22
down,w4a8_mg_sym,1024,16,5120,27648,16,77.48
down,w4a8_mg_asym,1024,16,5120,27648,16,77.31
down,w8a8,-,64,5120,27648,64,145.56
down,w4a8_pc,inf,64,5120,27648,64,98.74
down,w4a8_mg_sym,1024,64,5120,27648,64,108.23
down,w4a8_mg_asym,1024,64,5120,27648,64,110.80
down,w8a8,-,512,5120,27648,128,617.50
down,w4a8_pc,inf,512,5120,27648,128,370.43
down,w4a8_mg_sym,1024,512,5120,27648,128,509.62
down,w4a8_mg_asym,1024,512,5120,27648,128,511.14
down,w8a8,-,1024,5120,27648,128,1208.10
down,w4a8_pc,inf,1024,5120,27648,128,710.53
down,w4a8_mg_sym,1024,1024,5120,27648,128,987.17
down,w4a8_mg_asym,1024,1024,5120,27648,128,996.37
