proj,variant,gk,M,N,K,tileM,avg_us
qkv,w8a8,-,1,7168,5120,16,41.12
qkv,w4a8_pc,inf,1,7168,5120,16,28.26
qkv,w4a8_mg_asym,1024,1,7168,5120,16,31.12
qkv,w8a8,-,4,7168,5120,16,41.13
qkv,w4a8_pc,inf,4,7168,5120,16,28.46
qkv,w4a8_mg_asym,1024,4,7168,5120,16,31.34
qkv,w8a8,-,16,7168,5120,16,40.34
qkv,w4a8_pc,inf,16,7168,5120,16,28.57
qkv,w4a8_mg_asym,1024,16,7168,5120,16,31.07
qkv,w8a8,-,64,7168,5120,64,46.93
qkv,w4a8_pc,inf,64,7168,5120,64,34.81
qkv,w4a8_mg_asym,1024,64,7168,5120,64,40.65
qkv,w8a8,-,128,7168,5120,128,56.90
qkv,w4a8_pc,inf,128,7168,5120,128,50.97
qkv,w4a8_mg_asym,1024,128,7168,5120,128,53.35
qkv,w8a8,-,512,7168,5120,128,120.85
qkv,w4a8_pc,inf,512,7168,5120,128,106.07
qkv,w4a8_mg_asym,1024,512,7168,5120,128,150.51
qkv,w8a8,-,1024,7168,5120,128,207.67
qkv,w4a8_pc,inf,1024,7168,5120,128,186.51
qkv,w4a8_mg_asym,1024,1024,7168,5120,128,274.92
o,w8a8,-,1,5120,5120,16,32.88
o,w4a8_pc,inf,1,5120,5120,16,23.98
o,w4a8_mg_asym,1024,1,5120,5120,16,26.33
o,w8a8,-,4,5120,5120,16,32.60
o,w4a8_pc,inf,4,5120,5120,16,24.10
o,w4a8_mg_asym,1024,4,5120,5120,16,26.33
o,w8a8,-,16,5120,5120,16,32.52
o,w4a8_pc,inf,16,5120,5120,16,24.32
o,w4a8_mg_asym,1024,16,5120,5120,16,26.27
o,w8a8,-,64,5120,5120,64,37.04
o,w4a8_pc,inf,64,5120,5120,64,28.97
o,w4a8_mg_asym,1024,64,5120,5120,64,32.67
o,w8a8,-,128,5120,5120,128,44.32
o,w4a8_pc,inf,128,5120,5120,128,39.44
o,w4a8_mg_asym,1024,128,5120,5120,128,41.43
o,w8a8,-,512,5120,5120,128,90.17
o,w4a8_pc,inf,512,5120,5120,128,77.38
o,w4a8_mg_asym,1024,512,5120,5120,128,108.42
o,w8a8,-,1024,5120,5120,128,157.35
o,w4a8_pc,inf,1024,5120,5120,128,136.85
o,w4a8_mg_asym,1024,1024,5120,5120,128,197.95
gate_up,w8a8,-,1,55296,5120,16,248.59
gate_up,w4a8_pc,inf,1,55296,5120,16,132.83
gate_up,w4a8_mg_asym,1024,1,55296,5120,16,148.48
gate_up,w8a8,-,4,55296,5120,16,246.12
gate_up,w4a8_pc,inf,4,55296,5120,16,132.80
gate_up,w4a8_mg_asym,1024,4,55296,5120,16,148.93
gate_up,w8a8,-,16,55296,5120,16,248.30
gate_up,w4a8_pc,inf,16,55296,5120,16,132.91
gate_up,w4a8_mg_asym,1024,16,55296,5120,16,148.41
gate_up,w8a8,-,64,55296,5120,64,284.46
gate_up,w4a8_pc,inf,64,55296,5120,64,165.74
gate_up,w4a8_mg_asym,1024,64,55296,5120,64,206.43
gate_up,w8a8,-,128,55296,5120,128,357.81
gate_up,w4a8_pc,inf,128,55296,5120,128,278.02
gate_up,w4a8_mg_asym,1024,128,55296,5120,128,297.74
gate_up,w8a8,-,512,55296,5120,128,1251.00
gate_up,w4a8_pc,inf,512,55296,5120,128,794.67
gate_up,w4a8_mg_asym,1024,512,55296,5120,128,1066.38
gate_up,w8a8,-,1024,55296,5120,128,2476.67
gate_up,w4a8_pc,inf,1024,55296,5120,128,1564.72
gate_up,w4a8_mg_asym,1024,1024,55296,5120,128,2225.47
down,w8a8,-,1,5120,27648,16,124.33
down,w4a8_pc,inf,1,5120,27648,16,72.17
down,w4a8_mg_asym,1024,1,5120,27648,16,76.23
down,w8a8,-,4,5120,27648,16,123.79
down,w4a8_pc,inf,4,5120,27648,16,72.35
down,w4a8_mg_asym,1024,4,5120,27648,16,76.93
down,w8a8,-,16,5120,27648,16,123.66
down,w4a8_pc,inf,16,5120,27648,16,72.78
down,w4a8_mg_asym,1024,16,5120,27648,16,76.13
down,w8a8,-,64,5120,27648,64,144.90
down,w4a8_pc,inf,64,5120,27648,64,97.98
down,w4a8_mg_asym,1024,64,5120,27648,64,108.13
down,w8a8,-,128,5120,27648,128,183.12
down,w4a8_pc,inf,128,5120,27648,128,127.11
down,w4a8_mg_asym,1024,128,5120,27648,128,152.60
down,w8a8,-,512,5120,27648,128,613.63
down,w4a8_pc,inf,512,5120,27648,128,369.87
down,w4a8_mg_asym,1024,512,5120,27648,128,518.88
down,w8a8,-,1024,5120,27648,128,1200.45
down,w4a8_pc,inf,1024,5120,27648,128,710.03
down,w4a8_mg_asym,1024,1024,5120,27648,128,1012.92
