arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s,prefill_ms,async_sched,expect_skip
bf16,64,1,1,aclgraph,FULL_DECODE_ONLY,1,128,128,6.8554,128,53557.73,836.839,18.67,407.49,0,qwen38
bf16,64,1,1,aclgraph,FULL_DECODE_ONLY,4,128,128,7.3207,512,57192.80,893.637,69.94,426.50,0,qwen38
bf16,64,1,1,aclgraph,FULL_DECODE_ONLY,16,128,128,40.4443,2048,315971.19,4937.050,50.64,1015.41,0,qwen38
bf16,64,1,1,aclgraph,FULL_DECODE_ONLY,32,128,128,105.5253,4096,824416.13,12881.502,38.82,2201.72,0,qwen38
w8a8-native,64,1,1,aclgraph,FULL_DECODE_ONLY,1,128,128,4.2432,128,33149.90,517.967,30.17,387.33,0,qwen38
w8a8-native,64,1,1,aclgraph,FULL_DECODE_ONLY,4,128,128,4.5277,512,35372.89,552.701,113.08,377.68,0,qwen38
w8a8-native,64,1,1,aclgraph,FULL_DECODE_ONLY,16,128,128,5.5957,2048,43716.65,683.073,365.99,729.78,0,qwen38
w8a8-native,64,1,1,aclgraph,FULL_DECODE_ONLY,32,128,128,7.1997,4096,56247.52,878.867,568.91,1385.09,0,qwen38
w8a8,64,1,1,aclgraph,FULL_DECODE_ONLY,1,128,128,4.6083,128,36002.17,562.534,27.78,421.86,0,qwen38
w8a8,64,1,1,aclgraph,FULL_DECODE_ONLY,4,128,128,4.9892,512,38978.51,609.039,102.62,453.64,0,qwen38
w8a8,64,1,1,aclgraph,FULL_DECODE_ONLY,16,128,128,6.0389,2048,47178.77,737.168,339.14,709.36,0,qwen38
w8a8,64,1,1,aclgraph,FULL_DECODE_ONLY,32,128,128,7.6198,4096,59529.65,930.151,537.55,1309.85,0,qwen38
w4a8,64,1,1,aclgraph,FULL_DECODE_ONLY,1,128,128,3.8344,128,29956.52,468.071,33.38,407.09,0,qwen38
w4a8,64,1,1,aclgraph,FULL_DECODE_ONLY,4,128,128,4.1737,512,32607.20,509.488,122.67,401.02,0,qwen38
w4a8,64,1,1,aclgraph,FULL_DECODE_ONLY,16,128,128,5.7842,2048,45188.79,706.075,354.07,877.45,0,qwen38
w4a8,64,1,1,aclgraph,FULL_DECODE_ONLY,32,128,128,8.2367,4096,64348.91,1005.452,497.29,1651.75,0,qwen38
w4a8-native,64,1,1,aclgraph,FULL_DECODE_ONLY,1,128,128,4.2970,128,33570.08,524.533,29.79,455.18,0,none
w4a8-native,64,1,1,aclgraph,FULL_DECODE_ONLY,4,128,128,4.9835,512,38933.22,608.331,102.74,498.47,0,none
w4a8-native,64,1,1,aclgraph,FULL_DECODE_ONLY,16,128,128,7.7228,2048,60334.30,942.723,265.19,1001.02,0,none
w4a8-native,64,1,1,aclgraph,FULL_DECODE_ONLY,32,128,128,14.9786,4096,117020.03,1828.438,273.46,1788.69,0,none
