model,proj,layers,par,tp,M,N,K,tileM,mg_us,w8_us,mg_vs_w8
qwen38,qkv,16,col,1,1,14336,5120,16,50.19,71.07,0.706
qwen38,o,16,row,1,1,5120,6144,16,29.47,37.31,0.790
qwen38,gdn_in_qkvz,48,col,1,1,16384,5120,16,55.79,80.29,0.695
qwen38,gdn_out,48,row,1,1,5120,6144,16,29.76,37.51,0.793
qwen38,gate_up,64,col,1,1,34816,5120,16,99.89,157.12,0.636
qwen38,down,64,row,1,1,5120,17408,16,53.49,82.18,0.651
qwen38,qkv,16,col,2,1,7168,5120,16,32.04,40.74,0.786
qwen38,o,16,row,2,1,5120,3072,16,21.25,24.37,0.872
qwen38,gdn_in_qkvz,48,col,2,1,8192,5120,16,36.44,48.12,0.757
qwen38,gdn_out,48,row,2,1,5120,3072,16,20.78,24.96,0.833
qwen38,gate_up,64,col,2,1,17408,5120,16,56.77,82.25,0.690
qwen38,down,64,row,2,1,5120,8704,16,36.75,48.19,0.763
qwen38,qkv,16,col,4,1,3584,5120,16,22.75,28.19,0.807
qwen38,o,16,row,4,1,5120,1536,16,18.14,17.45,1.040
qwen38,gdn_in_qkvz,48,col,4,1,4096,5120,16,23.83,29.74,0.801
qwen38,gdn_out,48,row,4,1,5120,1536,16,18.12,16.58,1.093
qwen38,gate_up,64,col,4,1,8704,5120,16,37.29,49.03,0.761
qwen38,down,64,row,4,1,5120,4352,16,28.76,32.28,0.891
qwen38,qkv,16,col,1,2,14336,5120,16,50.11,70.95,0.706
qwen38,o,16,row,1,2,5120,6144,16,29.21,37.11,0.787
qwen38,gdn_in_qkvz,48,col,1,2,16384,5120,16,55.29,80.53,0.687
qwen38,gdn_out,48,row,1,2,5120,6144,16,29.87,37.22,0.803
qwen38,gate_up,64,col,1,2,34816,5120,16,99.55,157.52,0.632
qwen38,down,64,row,1,2,5120,17408,16,53.48,81.90,0.653
qwen38,qkv,16,col,2,2,7168,5120,16,31.62,40.87,0.774
qwen38,o,16,row,2,2,5120,3072,16,21.52,24.80,0.868
qwen38,gdn_in_qkvz,48,col,2,2,8192,5120,16,35.87,48.33,0.742
qwen38,gdn_out,48,row,2,2,5120,3072,16,21.67,24.86,0.872
qwen38,gate_up,64,col,2,2,17408,5120,16,56.79,82.56,0.688
qwen38,down,64,row,2,2,5120,8704,16,37.21,47.83,0.778
qwen38,qkv,16,col,4,2,3584,5120,16,23.39,28.73,0.814
qwen38,o,16,row,4,2,5120,1536,16,17.91,18.23,0.982
qwen38,gdn_in_qkvz,48,col,4,2,4096,5120,16,23.78,29.61,0.803
qwen38,gdn_out,48,row,4,2,5120,1536,16,18.45,18.42,1.002
qwen38,gate_up,64,col,4,2,8704,5120,16,37.50,48.88,0.767
qwen38,down,64,row,4,2,5120,4352,16,28.68,32.04,0.895
qwen38,qkv,16,col,1,4,14336,5120,16,50.00,70.87,0.706
qwen38,o,16,row,1,4,5120,6144,16,29.24,37.73,0.775
qwen38,gdn_in_qkvz,48,col,1,4,16384,5120,16,55.78,80.30,0.695
qwen38,gdn_out,48,row,1,4,5120,6144,16,28.72,37.30,0.770
qwen38,gate_up,64,col,1,4,34816,5120,16,99.32,157.41,0.631
qwen38,down,64,row,1,4,5120,17408,16,53.34,81.96,0.651
qwen38,qkv,16,col,2,4,7168,5120,16,31.42,40.69,0.772
qwen38,o,16,row,2,4,5120,3072,16,21.34,24.77,0.862
qwen38,gdn_in_qkvz,48,col,2,4,8192,5120,16,36.26,47.82,0.758
qwen38,gdn_out,48,row,2,4,5120,3072,16,21.61,24.58,0.879
qwen38,gate_up,64,col,2,4,17408,5120,16,56.52,82.46,0.685
qwen38,down,64,row,2,4,5120,8704,16,36.97,47.66,0.776
qwen38,qkv,16,col,4,4,3584,5120,16,23.55,28.83,0.817
