proj,variant,M,N,K,tileM,avg_us
qkv,pc,128,7168,5120,128,51.26
qkv,full,128,7168,5120,128,53.63
qkv,noaiv,128,7168,5120,128,50.85
qkv,nofix,128,7168,5120,128,49.56
qkv,dmaonly,128,7168,5120,128,45.73
qkv,pc,512,7168,5120,128,106.08
qkv,full,512,7168,5120,128,150.33
qkv,noaiv,512,7168,5120,128,143.51
qkv,nofix,512,7168,5120,128,101.18
qkv,dmaonly,512,7168,5120,128,84.66
qkv,pc,1024,7168,5120,128,187.58
qkv,full,1024,7168,5120,128,275.23
qkv,noaiv,1024,7168,5120,128,261.82
qkv,nofix,1024,7168,5120,128,181.52
qkv,dmaonly,1024,7168,5120,128,150.53
o,pc,128,5120,5120,128,39.73
o,full,128,5120,5120,128,41.65
o,noaiv,128,5120,5120,128,39.71
o,nofix,128,5120,5120,128,38.12
o,dmaonly,128,5120,5120,128,34.56
o,pc,512,5120,5120,128,76.87
o,full,512,5120,5120,128,107.96
o,noaiv,512,5120,5120,128,103.32
o,nofix,512,5120,5120,128,74.71
o,dmaonly,512,5120,5120,128,63.13
o,pc,1024,5120,5120,128,138.15
o,full,1024,5120,5120,128,197.78
o,noaiv,1024,5120,5120,128,188.55
o,nofix,1024,5120,5120,128,132.24
o,dmaonly,1024,5120,5120,128,111.00
gate_up,pc,128,55296,5120,128,278.27
gate_up,full,128,55296,5120,128,299.06
gate_up,noaiv,128,55296,5120,128,283.34
gate_up,nofix,128,55296,5120,128,272.71
gate_up,dmaonly,128,55296,5120,128,249.00
gate_up,pc,512,55296,5120,128,795.46
gate_up,full,512,55296,5120,128,1046.46
gate_up,noaiv,512,55296,5120,128,982.01
gate_up,nofix,512,55296,5120,128,704.08
gate_up,dmaonly,512,55296,5120,128,607.20
gate_up,pc,1024,55296,5120,128,1564.80
gate_up,full,1024,55296,5120,128,2193.85
gate_up,noaiv,1024,55296,5120,128,1932.56
gate_up,nofix,1024,55296,5120,128,1375.51
gate_up,dmaonly,1024,55296,5120,128,1168.89
down,pc,128,5120,27648,128,126.50
down,full,128,5120,27648,128,149.97
down,noaiv,128,5120,27648,128,138.56
down,nofix,128,5120,27648,128,123.31
down,dmaonly,128,5120,27648,128,121.45
down,pc,512,5120,27648,128,371.13
down,full,512,5120,27648,128,512.78
down,noaiv,512,5120,27648,128,488.52
down,nofix,512,5120,27648,128,367.75
down,dmaonly,512,5120,27648,128,336.52
down,pc,1024,5120,27648,128,709.49
down,full,1024,5120,27648,128,1001.10
down,noaiv,1024,5120,27648,128,958.25
down,nofix,1024,5120,27648,128,700.54
down,dmaonly,1024,5120,27648,128,625.39
