proj,M,N,K,full_us,split_us,nofix_us,pc_us
qkv,128,7168,5120,53.45,54.00,48.88,51.00
qkv,512,7168,5120,150.66,156.85,102.13,106.02
qkv,1024,7168,5120,275.63,287.98,181.02,187.39
o,128,5120,5120,41.20,42.08,37.40,39.94
o,512,5120,5120,108.18,112.31,74.77,77.32
o,1024,5120,5120,197.46,205.70,133.29,137.43
gate_up,128,55296,5120,299.60,305.12,272.61,278.57
gate_up,512,55296,5120,1046.26,1080.63,705.09,796.29
gate_up,1024,55296,5120,2205.61,2239.50,1377.98,1569.75
down,128,5120,27648,148.57,149.23,121.37,124.64
down,512,5120,27648,513.89,529.45,365.71,371.60
down,1024,5120,27648,1001.51,1037.71,700.54,709.49
