proj,tp,M,N,K,tileM,gk_old,mg_new_us,mg_old_us,w8_us,new_vs_old,new_vs_w8
o,1,16,5120,5120,16,-,26.74,NA,32.01,,0.835
o,2,16,5120,2560,16,512,21.13,26.01,22.60,0.812,0.935
o,4,16,5120,1280,16,256,18.70,24.91,17.55,0.751,1.066
o,8,16,5120,640,16,-,16.38,NA,NA,,
down,1,16,5120,27648,16,-,76.80,NA,124.91,,0.615
down,2,16,5120,13824,16,512,50.27,77.09,68.29,0.652,0.736
down,4,16,5120,6912,16,256,35.65,77.99,42.54,0.457,0.838
down,8,16,5120,3456,16,-,25.81,NA,NA,,
o,1,128,5120,5120,128,-,40.69,NA,43.56,,0.934
o,2,128,5120,2560,128,512,30.24,37.94,26.99,0.797,1.120
o,4,128,5120,1280,128,256,26.74,38.19,21.31,0.700,1.255
o,8,128,5120,640,128,-,27.75,NA,NA,,
down,1,128,5120,27648,128,-,148.02,NA,182.14,,0.813
down,2,128,5120,13824,128,512,111.29,146.63,94.41,0.759,1.179
down,4,128,5120,6912,128,256,69.52,136.75,59.84,0.508,1.162
down,8,128,5120,3456,128,-,49.44,NA,NA,,
o,1,512,5120,5120,128,-,106.73,NA,91.21,,1.170
o,2,512,5120,2560,128,512,72.72,104.80,52.46,0.694,1.386
o,4,512,5120,1280,128,256,56.29,104.01,38.85,0.541,1.449
o,8,512,5120,640,128,-,42.71,NA,NA,,
down,1,512,5120,27648,128,-,508.92,NA,618.29,,0.823
down,2,512,5120,13824,128,512,279.46,481.40,234.66,0.581,1.191
down,4,512,5120,6912,128,256,173.56,482.74,126.78,0.360,1.369
down,8,512,5120,3456,128,-,124.11,NA,NA,,
