arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s,prefill_ms,async_sched
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,256,7.9726,256,31142.78,486.606,32.11,398.03,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,16,1024,256,9.8792,4096,38590.74,602.980,414.61,5833.49,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,64,1024,256,15.9535,16384,62318.46,973.726,1026.98,23161.69,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,128,1024,256,23.0340,32768,89976.50,1405.883,1422.59,46334.78,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,256,1024,256,39.3839,65536,153843.30,2403.802,1664.03,92646.54,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,256,7.1359,256,27874.42,435.538,35.88,376.29,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,16,1024,256,9.3531,4096,36535.55,570.868,437.93,5361.76,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,64,1024,256,15.5378,16384,60694.67,948.354,1054.46,21309.17,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,128,1024,256,22.5798,32768,88202.36,1378.162,1451.21,42656.24,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,256,1024,256,38.3276,65536,149717.08,2339.329,1709.89,85306.40,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,256,6.8728,256,26846.72,419.480,37.25,410.20,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,16,1024,256,8.8095,4096,34412.29,537.692,464.95,5978.63,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,64,1024,256,15.2688,16384,59643.57,931.931,1073.04,23793.96,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,128,1024,256,23.3521,32768,91219.20,1425.300,1403.21,47609.30,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,256,1024,256,39.4200,65536,153984.19,2406.003,1662.51,95298.94,1
w8a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,256,7.3826,256,28838.16,450.596,34.68,380.06,1
w8a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,16,1024,256,9.3635,4096,36576.36,571.506,437.44,5431.45,1
w8a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,64,1024,256,15.0558,16384,58811.75,918.934,1088.22,21637.01,1
w8a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,128,1024,256,21.9015,32768,85552.77,1336.762,1496.15,43229.53,1
w8a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,256,1024,256,37.4080,65536,146125.02,2283.203,1751.92,86444.91,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,256,6.9089,256,26987.75,421.684,37.05,407.38,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,16,1024,256,10.2288,4096,39956.38,624.318,400.44,5892.05,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,64,1024,256,19.7706,16384,77228.99,1206.703,828.70,23432.30,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,128,1024,256,27.6487,32768,108002.83,1687.544,1185.15,46841.92,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,256,1024,256,42.0260,65536,164164.15,2565.065,1559.41,93729.15,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,1,128,64,2.1424,64,33474.65,523.041,29.87,174.77,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,8,128,64,2.2876,512,35744.53,558.508,223.81,570.29,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,64,2.1301,64,33282.06,520.032,30.05,406.63,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,8,1024,64,2.3957,512,37432.93,584.890,213.72,2959.87,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,1,4096,64,2.2319,64,34874.13,544.908,28.67,1467.24,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,8,4096,64,2.6999,512,42185.81,659.153,189.64,11644.90,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,1,8192,64,2.4291,64,37954.10,593.033,26.35,3007.83,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,8,8192,64,2.9576,512,46212.32,722.067,173.11,23623.90,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,128,64,1.8571,64,29017.09,453.392,34.46,170.28,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,8,128,64,2.1038,512,32871.34,513.615,243.37,400.54,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,64,2.0694,64,32335.08,505.236,30.93,385.63,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,8,1024,64,2.1519,512,33623.85,525.373,237.93,2693.78,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,4096,64,2.1225,64,33164.09,518.189,30.15,1404.25,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,8,4096,64,2.4106,512,37665.09,588.517,212.40,10693.83,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,8192,64,2.2595,64,35304.95,551.640,28.32,2783.21,1
w8a8,64,4,1,aclgraph,FULL_DECODE_ONLY,8,8192,64,2.7157,512,42433.26,663.020,188.53,21619.64,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,128,64,1.7970,64,28078.48,438.726,35.61,198.23,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,8,128,64,2.0130,512,31452.80,491.450,254.35,418.09,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,64,1.8294,64,28584.86,446.638,34.98,397.60,1
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,8,1024,64,2.0568,512,32137.06,502.142,248.93,3005.13,1
