arm,layers,tp,batch,step_us,tok_s
bf16,16,1,1,20868.5,47.9
bf16,16,1,16,24849.7,643.9
bf16,16,1,64,33237.0,1925.6
w8a8,16,1,1,12246.3,81.7
w8a8,16,1,16,14698.3,1088.6
w8a8,16,1,64,22107.3,2895.0
w4a8,16,1,1,10045.0,99.6
w4a8,16,1,16,12123.8,1319.7
w4a8,16,1,64,19620.6,3261.9
bf16,16,2,1,14505.9,68.9
bf16,16,2,16,17168.4,931.9
bf16,16,2,64,24483.7,2614.0
w8a8,16,2,1,11958.7,83.6
w8a8,16,2,16,14783.8,1082.3
w8a8,16,2,64,22141.2,2890.5
w4a8,16,2,1,10808.3,92.5
w4a8,16,2,16,13838.3,1156.2
w4a8,16,2,64,21823.2,2932.7
bf16,16,4,1,12690.2,78.8
bf16,16,4,16,15222.8,1051.1
bf16,16,4,64,24256.4,2638.5
w8a8,16,4,1,11841.5,84.4
w8a8,16,4,16,14554.5,1099.3
w8a8,16,4,64,23534.0,2719.5
w4a8,16,4,1,11589.4,86.3
w4a8,16,4,16,13974.8,1144.9
w4a8,16,4,64,23456.1,2728.5
