proj,tileM,M,N,K,base_us,band_us,delta_pct
qkv,16,16,7168,5120,32.34,32.36,0.06
o,16,16,5120,5120,27.04,26.86,-0.67
gate_up,16,16,55296,5120,150.86,151.33,0.31
down,16,16,5120,27648,78.43,78.37,-0.08
qkv,64,64,7168,5120,41.28,40.19,-2.64
o,64,64,5120,5120,32.97,32.37,-1.82
gate_up,64,64,55296,5120,207.79,207.62,-0.08
down,64,64,5120,27648,108.41,109.05,0.59
qkv,128,128,7168,5120,53.35,53.50,0.28
o,128,128,5120,5120,41.75,41.36,-0.93
gate_up,128,128,55296,5120,299.81,299.61,-0.07
down,128,128,5120,27648,147.91,148.06,0.10
