proj,tileM,mtiles,M,N,K,base_us,band_us,delta_pct
qkv,128,2,256,7168,5120,89.40,89.41,0.01
o,128,2,256,5120,5120,65.46,66.06,0.92
gate_up,128,2,256,55296,5120,586.40,571.65,-2.52
down,128,2,256,5120,27648,271.23,261.32,-3.65
qkv,128,4,512,7168,5120,150.58,150.50,-0.05
o,128,4,512,5120,5120,108.05,107.21,-0.78
gate_up,128,4,512,55296,5120,1044.17,1015.95,-2.70
down,128,4,512,5120,27648,511.97,499.01,-2.53
qkv,128,8,1024,7168,5120,275.92,274.90,-0.37
o,128,8,1024,5120,5120,198.03,197.34,-0.35
gate_up,128,8,1024,55296,5120,2203.02,2097.84,-4.77
down,128,8,1024,5120,27648,1001.08,978.18,-2.29
