arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s,prefill_ms
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,1.3466,64,21040.95,1315.060,47.53,
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,1.5656,1024,24461.96,1528.873,654.08,
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,2.1225,4096,33163.70,2072.731,1929.82,
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,2.5404,8192,39693.78,2480.862,3224.69,
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,256,128,64,3.8674,16384,60428.28,3776.768,4236.43,
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.7830,64,12235.10,764.694,81.73,
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.9439,1024,14748.75,921.797,1084.84,
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.4121,4096,22063.39,1378.962,2900.73,
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.8316,8192,28618.68,1788.668,4472.60,
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,256,128,64,2.9880,16384,46688.25,2918.016,5483.18,
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.6677,64,10432.89,652.056,95.85,
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.8044,1024,12568.98,785.561,1272.97,
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.2548,4096,19606.68,1225.417,3264.19,
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.8782,8192,29346.15,1834.135,4361.73,
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,256,128,64,3.2852,16384,51330.61,3208.163,4987.28,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,1.0448,64,16325.38,1020.336,61.25,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,1.2419,1024,19404.77,1212.798,824.54,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.7130,4096,26765.54,1672.846,2391.13,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,2.1131,8192,33017.96,2063.623,3876.68,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,256,128,64,3.1944,16384,49912.42,3119.526,5128.98,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.7351,64,11485.39,717.837,87.07,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,1.2149,1024,18983.17,1186.448,842.85,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,2.5258,4096,39465.39,2466.587,1621.67,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,3.1093,8192,48583.10,3036.444,2634.66,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,256,128,64,4.2048,16384,65699.89,4106.243,3896.51,
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,2.5659,64,40091.60,1252.862,24.94,
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,2.9831,1024,46611.19,1456.600,343.27,
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,4.0480,4096,63249.76,1976.555,1011.86,
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,4.8256,8192,75399.62,2356.238,1697.62,
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,256,128,64,7.5489,16384,117951.65,3685.989,2170.38,
w8a8,32,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.5016,64,23462.06,733.189,42.62,
w8a8,32,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.7341,1024,27095.42,846.732,590.51,
w8a8,32,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,2.6263,4096,41035.57,1282.362,1559.62,
w8a8,32,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,3.4154,8192,53366.14,1667.692,2398.52,
w8a8,32,1,2,aclgraph,FULL_DECODE_ONLY,256,128,64,5.7213,16384,89395.82,2793.620,2863.67,
w4a8,32,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.3244,64,20694.51,646.703,48.32,
w4a8,32,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.4992,1024,23424.84,732.026,683.04,
w4a8,32,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,2.3468,4096,36668.71,1145.897,1745.36,
w4a8,32,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,3.5319,8192,55185.26,1724.539,2319.46,
w4a8,32,1,2,aclgraph,FULL_DECODE_ONLY,256,128,64,6.3617,16384,99401.36,3106.293,2575.42,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.9058,64,29778.08,930.565,33.58,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,2.2874,1024,35740.63,1116.895,447.67,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,3.1840,4096,49749.32,1554.666,1286.45,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,3.9170,8192,61203.81,1912.619,2091.37,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,256,128,64,5.9966,16384,93697.22,2928.038,2732.20,
w4a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.3542,64,21159.18,661.224,47.26,
w4a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,2.2610,1024,35328.80,1104.025,452.89,
w4a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,4.9224,4096,76912.23,2403.507,832.12,
w4a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,6.0904,8192,95162.49,2973.828,1345.07,
w4a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,256,128,64,8.0791,16384,126236.72,3944.897,2027.94,
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,4.9070,64,76672.50,1198.008,13.04,
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,5.6415,1024,88148.43,1377.319,181.51,
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,7.3186,4096,114353.48,1786.773,559.67,
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,8.2893,8192,129520.95,2023.765,988.26,
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,256,128,64,12.4812,16384,195018.72,3047.168,1312.69,
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,2.5681,64,40125.93,626.968,24.92,
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,3.0277,1024,47307.67,739.182,338.21,
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,4.3919,4096,68623.87,1072.248,932.62,
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,5.4278,8192,84809.58,1325.150,1509.26,
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,256,128,64,8.7273,16384,136363.98,2130.687,1877.33,
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,2.2044,64,34443.12,538.174,29.03,
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,2.4916,1024,38931.17,608.300,410.98,
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,3.7707,4096,58917.02,920.578,1086.27,
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,5.5943,8192,87410.64,1365.791,1464.35,
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,256,128,64,10.1179,16384,158092.48,2470.195,1619.31,
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,3.6461,64,56969.64,890.151,17.55,
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,4.2622,1024,66597.55,1040.587,240.25,
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,5.6508,4096,88294.29,1379.598,724.85,
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,6.5561,8192,102438.94,1600.608,1249.52,
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,256,128,64,9.6220,16384,150343.74,2349.121,1702.76,
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,2.2964,64,35881.89,560.655,27.87,
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,4.0863,1024,63849.12,997.643,250.59,
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,8.8977,4096,139026.07,2172.282,460.35,
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,10.7676,8192,168243.10,2628.798,760.80,
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,256,128,64,13.9605,16384,218132.61,3408.322,1173.60,
