arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s
bf16,4,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.5212,64,8144.10,2036.026,122.79
bf16,4,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.6642,1024,10378.42,2594.604,1541.66
bf16,4,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,0.9723,4096,15192.15,3798.038,4212.70
bf16,4,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.3018,8192,20340.74,5085.186,6292.79
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,1.3260,64,20718.90,1294.931,48.27
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,1.6516,1024,25806.02,1612.877,620.01
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,2.1932,4096,34268.14,2141.759,1867.62
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,2.5885,8192,40445.53,2527.846,3164.75
w8a8,4,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.3921,64,6126.99,1531.748,163.21
w8a8,4,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.5138,1024,8027.78,2006.944,1993.08
w8a8,4,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,0.7922,4096,12378.30,3094.576,5170.34
w8a8,4,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.1187,8192,17479.93,4369.981,7322.69
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.7969,64,12452.27,778.267,80.31
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.9808,1024,15325.40,957.838,1044.02
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.4588,4096,22793.33,1424.583,2807.84
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.8789,8192,29358.21,1834.888,4359.94
w4a8,4,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.3893,64,6082.96,1520.739,164.39
w4a8,4,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.4884,1024,7630.76,1907.689,2096.78
w4a8,4,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,0.7650,4096,11953.53,2988.383,5354.07
w4a8,4,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.1254,8192,17584.26,4396.064,7279.24
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.6596,64,10306.53,644.158,97.03
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.8632,1024,13487.06,842.942,1186.32
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.3261,4096,20720.64,1295.040,3088.71
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.9086,8192,29821.11,1863.820,4292.26
bf16,4,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,0.7641,64,11938.86,2984.714,83.76
bf16,4,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.0097,1024,15776.29,3944.073,1014.18
bf16,4,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,1.5826,4096,24728.05,6182.013,2588.15
bf16,4,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,2.3349,8192,36482.40,9120.600,3508.54
bf16,16,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.4162,64,22128.00,1383.000,45.19
bf16,16,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.7962,1024,28066.20,1754.137,570.08
bf16,16,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,2.5367,4096,39635.58,2477.224,1614.71
bf16,16,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,3.2389,8192,50608.13,3163.008,2529.24
w8a8,4,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,0.7262,64,11346.42,2836.604,88.13
w8a8,4,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,0.9012,1024,14080.67,3520.169,1136.31
w8a8,4,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,1.4765,4096,23070.90,5767.726,2774.06
w8a8,4,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,2.2802,8192,35627.58,8906.894,3592.72
w8a8,16,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.0570,64,16515.79,1032.237,60.55
w8a8,16,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.2380,1024,19343.44,1208.965,827.15
w8a8,16,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,2.0410,4096,31890.41,1993.151,2006.87
w8a8,16,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,2.8451,8192,44454.89,2778.431,2879.32
w4a8,4,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,0.7010,64,10953.14,2738.286,91.30
w4a8,4,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,0.8973,1024,14019.79,3504.947,1141.24
w4a8,4,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,1.4352,4096,22425.48,5606.370,2853.90
w4a8,4,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,2.2868,8192,35730.49,8932.622,3582.37
w4a8,16,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,0.8782,64,13721.48,857.593,72.88
w4a8,16,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.1342,1024,17721.31,1107.582,902.87
w4a8,16,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,1.8191,4096,28424.08,1776.505,2251.61
w4a8,16,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,2.6928,8192,42074.83,2629.677,3042.20
bf16,4,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,1.2559,64,19622.84,4905.711,50.96
bf16,4,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,1.5597,1024,24370.16,6092.539,656.54
bf16,4,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,2.3844,4096,37255.71,9313.927,1717.86
bf16,4,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,3.5101,8192,54845.30,13711.325,2333.84
bf16,16,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,1.4944,64,23350.58,1459.411,42.83
bf16,16,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,1.9512,1024,30487.28,1905.455,524.81
bf16,16,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,2.8155,4096,43992.19,2749.512,1454.80
bf16,16,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,3.9976,8192,62461.99,3903.874,2049.25
w8a8,4,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,1.2107,64,18916.59,4729.147,52.86
w8a8,4,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,1.4802,1024,23128.22,5782.056,691.80
w8a8,4,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,2.3211,4096,36267.85,9066.963,1764.65
w8a8,4,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,3.4458,8192,53840.15,13460.038,2377.41
w8a8,16,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,1.5702,64,24533.79,1533.362,40.76
w8a8,16,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,1.8579,1024,29029.79,1814.362,551.16
w8a8,16,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,2.7177,4096,42463.97,2653.998,1507.16
w8a8,16,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,3.9270,8192,61358.96,3834.935,2086.08
w4a8,4,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,1.1574,64,18084.88,4521.220,55.29
w4a8,4,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,1.4206,1024,22196.68,5549.170,720.83
w4a8,4,1,4,aclgraph,FULL_DECODE_ONLY,64,128,64,2.2337,4096,34900.92,8725.231,1833.76
w4a8,4,1,4,aclgraph,FULL_DECODE_ONLY,128,128,64,3.4628,8192,54106.30,13526.575,2365.71
w4a8,16,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,1.4393,64,22489.18,1405.574,44.47
w4a8,16,1,4,aclgraph,FULL_DECODE_ONLY,16,128,64,1.8226,1024,28478.44,1779.902,561.83
