arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s
bf16,8,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.8074,64,12615.62,1576.953,79.27
bf16,8,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,1.0033,1024,15676.17,1959.522,1020.66
bf16,8,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.3886,4096,21697.19,2712.148,2949.69
bf16,8,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.7374,8192,27147.14,3393.392,4715.05
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,1.3560,64,21187.16,1324.197,47.20
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,1.6767,1024,26199.07,1637.442,610.71
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,2.2053,4096,34457.81,2153.613,1857.34
bf16,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,2.6025,8192,40664.01,2541.501,3147.75
w8a8,8,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.5241,64,8188.41,1023.552,122.12
w8a8,8,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.6541,1024,10219.99,1277.499,1565.56
w8a8,8,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.0000,4096,15624.88,1953.110,4096.03
w8a8,8,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.3689,8192,21389.72,2673.714,5984.18
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.7767,64,12136.41,758.526,82.40
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.9852,1024,15393.70,962.106,1039.39
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.4536,4096,22712.99,1419.562,2817.77
w8a8,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.8535,8192,28961.61,1810.101,4419.64
w4a8,8,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.4723,64,7379.89,922.486,135.50
w4a8,8,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.6282,1024,9815.91,1226.989,1630.01
w4a8,8,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,0.9577,4096,14963.76,1870.470,4277.00
w4a8,8,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.3878,8192,21684.15,2710.519,5902.93
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.6762,64,10565.56,660.348,94.65
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.8709,1024,13608.48,850.530,1175.74
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.3228,4096,20668.92,1291.808,3096.44
w4a8,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.9429,8192,30358.40,1897.400,4216.30
bf16,16,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.4243,64,22254.84,1390.927,44.93
bf16,16,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.7830,1024,27859.89,1741.243,574.30
bf16,16,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,2.5318,4096,39560.13,2472.508,1617.79
bf16,16,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,3.2405,8192,50632.98,3164.561,2528.00
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,2.5344,64,39599.34,1237.479,25.25
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,3.1337,1024,48963.84,1530.120,326.77
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,4.2017,4096,65651.93,2051.623,974.84
bf16,32,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,4.9293,8192,77020.53,2406.891,1661.89
