arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s,prefill_ms
w8a8-native,8,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.6672,64,10425.41,1303.176,95.92,
w8a8-native,8,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.7802,1024,12190.47,1523.809,1312.50,
w8a8-native,8,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.1302,4096,17659.73,2207.467,3624.06,
w8a8-native,8,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,1.5078,8192,23558.74,2944.843,5433.23,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,1.0400,64,16249.31,1015.582,61.54,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,1.2492,1024,19518.26,1219.891,819.75,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.7168,4096,26824.36,1676.522,2385.89,
w8a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,2.1127,8192,33010.40,2063.150,3877.57,
w4a8-native,8,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.5047,64,7885.17,985.646,126.82,
w4a8-native,8,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,0.7872,1024,12299.46,1537.432,1300.87,
w4a8-native,8,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,1.5541,4096,24282.99,3035.374,2635.59,
w4a8-native,8,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,2.0206,8192,31572.01,3946.501,4054.22,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,1,128,64,0.7225,64,11288.56,705.535,88.59,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,16,128,64,1.2177,1024,19026.96,1189.185,840.91,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,64,128,64,2.5473,4096,39800.94,2487.559,1608.00,
w4a8-native,16,1,1,aclgraph,FULL_DECODE_ONLY,128,128,64,3.1533,8192,49270.89,3079.431,2597.88,
w8a8-native,16,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.1341,64,17720.40,1107.525,56.43,
w8a8-native,16,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.3941,1024,21783.20,1361.450,734.51,
w8a8-native,16,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,2.0666,4096,32290.98,2018.186,1981.98,
w8a8-native,16,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,2.9049,8192,45388.44,2836.778,2820.10,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.9456,64,30399.95,949.999,32.89,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,2.3457,1024,36651.66,1145.364,436.54,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,3.2321,4096,50502.30,1578.197,1267.27,
w8a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,3.9584,8192,61850.68,1932.834,2069.50,
w4a8-native,16,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,0.9357,64,14620.28,913.768,68.40,
w4a8-native,16,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,1.3534,1024,21146.82,1321.676,756.62,
w4a8-native,16,1,2,aclgraph,FULL_DECODE_ONLY,64,128,64,2.9316,4096,45805.86,2862.866,1397.20,
w4a8-native,16,1,2,aclgraph,FULL_DECODE_ONLY,128,128,64,3.8041,8192,59439.06,3714.941,2153.47,
w4a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,1,128,64,1.2900,64,20156.10,629.878,49.61,
w4a8-native,32,1,2,aclgraph,FULL_DECODE_ONLY,16,128,64,2.2641,1024,35376.29,1105.509,452.28,
