arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s,prefill_ms
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,4.8202,64,75315.88,1176.811,13.28,155.59
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,8,128,64,5.2630,512,82233.96,1284.906,97.28,389.44
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,1,1024,64,4.8283,64,75441.75,1178.777,13.26,425.42
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,8,1024,64,5.4977,512,85900.87,1342.201,93.13,2754.02
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,1,4096,64,4.9810,64,77828.59,1216.072,12.85,1480.91
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,8,4096,64,6.3846,512,99760.13,1558.752,80.19,5191.95
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,1,8192,64,5.2141,64,81470.44,1272.976,12.27,3072.51
bf16,64,1,4,aclgraph,FULL_DECODE_ONLY,8,8192,64,7.5526,512,118009.22,1843.894,67.79,8781.23
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,2.5832,64,40361.93,630.655,24.78,169.63
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,8,128,64,2.8402,512,44378.20,693.409,180.27,240.93
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,1024,64,2.6190,64,40922.63,639.416,24.44,236.63
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,8,1024,64,3.1190,512,48733.96,761.468,164.16,1621.71
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,4096,64,2.8273,64,44176.46,690.257,22.64,859.10
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,8,4096,64,4.0830,512,63796.67,996.823,125.40,3176.42
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,8192,64,3.0209,64,47200.88,737.514,21.19,1931.97
w8a8,64,1,4,aclgraph,FULL_DECODE_ONLY,8,8192,64,5.2410,512,81890.76,1279.543,97.69,5595.23
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,2.3185,64,36226.68,566.042,27.60,171.19
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,8,128,64,2.4802,512,38753.63,605.525,206.43,348.67
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,1024,64,2.3245,64,36320.12,567.502,27.53,355.05
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,8,1024,64,2.6689,512,41701.80,651.591,191.84,2528.88
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,4096,64,2.4105,64,37663.78,588.497,26.55,1306.73
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,8,4096,64,3.5262,512,55097.31,860.896,145.20,4767.53
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,1,8192,64,2.5401,64,39688.74,620.137,25.20,2814.70
w4a8,64,1,4,aclgraph,FULL_DECODE_ONLY,8,8192,64,4.6006,512,71884.86,1123.201,111.29,8069.81
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,3.6854,64,57584.64,899.760,17.37,168.22
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,8,128,64,4.1262,512,64472.50,1007.383,124.08,287.95
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,1024,64,3.7137,64,58027.17,906.675,17.23,282.38
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,8,1024,64,4.3145,512,67414.84,1053.357,118.67,1896.54
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,4096,64,3.8537,64,60214.00,940.844,16.61,1067.14
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,8,4096,64,5.1953,512,81177.06,1268.392,98.55,3549.71
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,8192,64,4.1072,64,64174.90,1002.733,15.58,2151.61
w8a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,8,8192,64,6.3590,512,99359.86,1552.498,80.52,6071.56
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,128,64,2.3492,64,36706.50,573.539,27.24,168.40
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,8,128,64,2.9428,512,45980.47,718.445,173.99,433.00
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,1024,64,2.4804,64,38755.70,605.558,25.80,486.48
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,8,1024,64,3.2538,512,50840.61,794.384,157.35,2703.66
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,4096,64,2.6528,64,41449.24,647.644,24.13,1467.30
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,8,4096,64,4.2417,512,66276.67,1035.573,120.71,4986.73
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,1,8192,64,2.7922,64,43627.52,681.680,22.92,2954.21
w4a8-native,64,1,4,aclgraph,FULL_DECODE_ONLY,8,8192,64,5.5852,512,87268.33,1363.568,91.67,8271.29
