proj,tp,M,N,K,gk,tileM,mg_us,pc_us,w8_us,mg_vs_pc,mg_vs_w8
o,1,16,5120,5120,1024,16,27.13,25.28,32.25,1.073,0.841
o,2,16,5120,2560,512,16,25.67,18.89,21.47,1.359,1.196
o,4,16,5120,1280,256,16,24.42,F,16.84,NA,1.450
down,1,16,5120,27648,1024,16,77.60,73.11,124.13,1.061,0.625
down,2,16,5120,13824,512,16,77.20,45.92,68.56,1.681,1.126
down,4,16,5120,6912,256,16,77.42,F,42.99,NA,1.801
o,1,64,5120,5120,1024,64,32.69,28.46,36.83,1.149,0.888
o,2,64,5120,2560,512,64,30.35,22.73,23.96,1.335,1.267
o,4,64,5120,1280,256,64,31.12,F,19.33,NA,1.610
down,1,64,5120,27648,1024,64,108.58,98.47,145.37,1.103,0.747
down,2,64,5120,13824,512,64,93.63,61.71,77.43,1.517,1.209
down,4,64,5120,6912,256,64,89.80,F,49.22,NA,1.824
o,1,128,5120,5120,1024,128,41.00,39.79,44.69,1.030,0.917
o,2,128,5120,2560,512,128,37.97,27.23,27.97,1.394,1.358
o,4,128,5120,1280,256,128,40.14,25.95,21.60,1.547,1.858
down,1,128,5120,27648,1024,128,150.22,125.76,181.09,1.194,0.830
down,2,128,5120,13824,512,128,146.68,112.59,94.27,1.303,1.556
down,4,128,5120,6912,256,128,137.59,69.11,59.94,1.991,2.295
o,1,512,5120,5120,1024,128,107.31,76.91,90.83,1.395,1.181
o,2,512,5120,2560,512,128,105.60,55.65,52.68,1.898,2.005
o,4,512,5120,1280,256,128,106.83,51.21,39.45,2.086,2.708
down,1,512,5120,27648,1024,128,510.42,368.61,616.19,1.385,0.828
down,2,512,5120,13824,512,128,482.41,209.52,234.00,2.302,2.062
down,4,512,5120,6912,256,128,482.58,159.17,127.89,3.032,3.773
