proj,split,tp,M,N,K,gk,tileM,full_us,nofix_us,tax_us,tax_pct
o,K,1,16,5120,5120,1024,16,26.87,24.17,2.70,10.05
o,K,2,16,5120,2560,512,16,25.24,24.30,0.94,3.72
o,K,4,16,5120,1280,256,16,25.44,24.04,1.40,5.50
down,K,1,16,5120,27648,1024,16,78.44,75.85,2.59,3.30
down,K,2,16,5120,13824,512,16,77.27,75.76,1.51,1.95
down,K,4,16,5120,6912,256,16,76.98,75.66,1.32,1.71
qkv,N,1,16,7168,5120,1024,16,32.50,29.24,3.26,10.03
qkv,N,2,16,3584,5120,1024,16,23.42,21.58,1.84,7.86
qkv,N,4,16,1792,5120,1024,16,16.08,14.21,1.87,11.63
gate_up,N,1,16,55296,5120,1024,16,150.49,135.73,14.76,9.81
gate_up,N,2,16,27648,5120,1024,16,82.56,74.40,8.16,9.88
gate_up,N,4,16,13824,5120,1024,16,50.13,45.18,4.95,9.87
o,K,1,64,5120,5120,1024,64,32.86,28.02,4.84,14.73
o,K,2,64,5120,2560,512,64,30.48,24.75,5.73,18.80
o,K,4,64,5120,1280,256,64,30.84,26.01,4.83,15.66
down,K,1,64,5120,27648,1024,64,108.80,97.50,11.30,10.39
down,K,2,64,5120,13824,512,64,95.09,78.06,17.03,17.91
down,K,4,64,5120,6912,256,64,89.46,77.84,11.62,12.99
qkv,N,1,64,7168,5120,1024,64,40.58,33.05,7.53,18.56
qkv,N,2,64,3584,5120,1024,64,28.29,24.73,3.56,12.58
qkv,N,4,64,1792,5120,1024,64,18.93,16.47,2.46,13.00
gate_up,N,1,64,55296,5120,1024,64,207.77,162.43,45.34,21.82
gate_up,N,2,64,27648,5120,1024,64,111.17,88.49,22.68,20.40
gate_up,N,4,64,13824,5120,1024,64,64.56,53.04,11.52,17.84
o,K,1,128,5120,5120,1024,128,41.26,37.58,3.68,8.92
o,K,2,128,5120,2560,512,128,38.31,26.30,12.01,31.35
o,K,4,128,5120,1280,256,128,39.73,26.05,13.68,34.43
down,K,1,128,5120,27648,1024,128,148.21,122.82,25.39,17.13
down,K,2,128,5120,13824,512,128,145.92,109.48,36.44,24.97
down,K,4,128,5120,6912,256,128,138.66,79.40,59.26,42.74
qkv,N,1,128,7168,5120,1024,128,53.74,49.06,4.68,8.71
qkv,N,2,128,3584,5120,1024,128,39.16,34.26,4.90,12.51
qkv,N,4,128,1792,5120,1024,128,24.91,20.28,4.63,18.59
gate_up,N,1,128,55296,5120,1024,128,299.89,273.21,26.68,8.90
gate_up,N,2,128,27648,5120,1024,128,157.31,144.76,12.55,7.98
gate_up,N,4,128,13824,5120,1024,128,91.11,84.63,6.48,7.11
o,K,1,512,5120,5120,1024,128,107.83,74.50,33.33,30.91
o,K,2,512,5120,2560,512,128,105.94,60.81,45.13,42.60
o,K,4,512,5120,1280,256,128,106.74,61.23,45.51,42.64
down,K,1,512,5120,27648,1024,128,511.22,364.19,147.03,28.76
down,K,2,512,5120,13824,512,128,482.56,270.05,212.51,44.04
down,K,4,512,5120,6912,256,128,482.70,269.51,213.19,44.17
qkv,N,1,512,7168,5120,1024,128,150.32,101.91,48.41,32.20
qkv,N,2,512,3584,5120,1024,128,81.89,56.69,25.20,30.77
qkv,N,4,512,1792,5120,1024,128,48.63,34.48,14.15,29.10
gate_up,N,1,512,55296,5120,1024,128,1044.70,710.50,334.20,31.99
gate_up,N,2,512,27648,5120,1024,128,521.93,345.71,176.22,33.76
gate_up,N,4,512,13824,5120,1024,128,265.88,179.20,86.68,32.60
o,K,1,1024,5120,5120,1024,128,197.24,133.97,63.27,32.08
o,K,2,1024,5120,2560,512,128,194.46,108.15,86.31,44.38
o,K,4,1024,5120,1280,256,128,197.24,108.60,88.64,44.94
down,K,1,1024,5120,27648,1024,128,997.23,698.49,298.74,29.96
down,K,2,1024,5120,13824,512,128,946.46,524.16,422.30,44.62
down,K,4,1024,5120,6912,256,128,945.03,523.34,421.69,44.62
qkv,N,1,1024,7168,5120,1024,128,274.83,182.06,92.77,33.76
qkv,N,2,1024,3584,5120,1024,128,149.01,98.83,50.18,33.68
qkv,N,4,1024,1792,5120,1024,128,81.46,55.29,26.17,32.13
gate_up,N,1,1024,55296,5120,1024,128,2179.96,1380.62,799.34,36.67
gate_up,N,2,1024,27648,5120,1024,128,1014.66,656.88,357.78,35.26
gate_up,N,4,1024,13824,5120,1024,128,513.69,337.77,175.92,34.25
