proj,M,N,K,bf16_us,w8a8_us,w4a8_us,w4a8_gemm_us,quant_a_us,bytes_bf16,bytes_w8a8,bytes_w4a8
qkv,1,7168,5120,68.624,69.548,82.338,70.666,70.297,73400320,36700160,18636800
qkv,16,7168,5120,69.656,68.364,69.889,70.967,68.313,73400320,36700160,18636800
qkv,64,7168,5120,66.519,69.127,66.624,64.593,65.910,73400320,36700160,18636800
qkv,128,7168,5120,102.081,107.386,98.939,113.645,80.754,73400320,36700160,18636800
o,1,5120,5120,70.199,64.823,76.707,67.625,64.515,52428800,26214400,13312000
o,16,5120,5120,64.596,60.954,63.635,61.763,64.216,52428800,26214400,13312000
o,64,5120,5120,62.755,64.395,58.779,65.613,60.292,52428800,26214400,13312000
o,128,5120,5120,98.232,91.213,89.682,93.600,101.689,52428800,26214400,13312000
gate_up,1,55296,5120,464.951,244.469,193.617,155.807,68.347,566231040,283115520,143769600
gate_up,16,55296,5120,478.743,252.822,162.021,155.080,72.166,566231040,283115520,143769600
gate_up,64,55296,5120,548.694,329.022,220.473,209.361,67.415,566231040,283115520,143769600
gate_up,128,55296,5120,609.612,290.288,304.361,288.864,65.257,566231040,283115520,143769600
down,1,5120,27648,343.365,138.029,137.081,88.847,58.073,283115520,141557760,71884800
down,16,5120,27648,415.882,144.453,100.785,87.792,60.862,283115520,141557760,71884800
down,64,5120,27648,536.383,150.989,129.394,100.998,67.091,283115520,141557760,71884800
down,128,5120,27648,478.867,163.967,191.653,149.442,74.885,283115520,141557760,71884800
