proj,M,N,K,bf16_us,int8_official_us,w4a16_official_us,int8_ours_us,int4_ours_us,int4_tflops,x_vs_int8_ours,x_vs_int8_official,x_vs_bf16,x_vs_w4a16
gate_up_proj,1,51200,5120,438.79,334.70,729.11,229.11,119.43,4.39,1.92,2.80,3.67,6.10
gate_up_proj,4,51200,5120,442.19,331.98,730.36,231.74,119.11,17.61,1.95,2.79,3.71,6.13
gate_up_proj,16,51200,5120,506.45,333.32,734.74,230.84,119.25,70.34,1.94,2.80,4.25,6.16
gate_up_proj,64,51200,5120,487.66,239.99,751.40,263.11,133.61,251.14,1.97,1.80,3.65,5.62
gate_up_proj,128,51200,5120,522.32,340.73,790.60,327.87,160.96,416.93,2.04,2.12,3.25,4.91
gate_up_proj,512,51200,5120,1544.58,825.55,1176.81,1161.75,583.17,460.30,1.99,1.42,2.65,2.02
gate_up_proj,1024,51200,5120,2677.35,1573.17,2501.29,2296.64,1181.21,454.51,1.94,1.33,2.27,2.12
down_proj,1,5120,25600,217.05,157.07,691.62,114.40,64.20,4.08,1.78,2.45,3.38,10.77
down_proj,4,5120,25600,216.78,155.29,691.19,114.39,64.06,16.37,1.79,2.42,3.38,10.79
down_proj,16,5120,25600,218.72,157.49,699.27,114.99,63.91,65.63,1.80,2.46,3.42,10.94
down_proj,64,5120,25600,236.24,158.83,708.44,132.81,73.56,228.08,1.81,2.16,3.21,9.63
down_proj,128,5120,25600,254.01,163.14,751.27,167.88,86.05,389.94,1.95,1.90,2.95,8.73
down_proj,512,5120,25600,756.07,447.65,947.87,549.73,216.51,619.91,2.54,2.07,3.49,4.38
down_proj,1024,5120,25600,1430.02,962.87,1641.47,1068.49,389.82,688.61,2.74,2.47,3.67,4.21
