proj,dtype,M,N,K,avg_us,tflops
gate_up,int4,1,51200,5120,103.31,5.07
gate_up,int8,1,51200,5120,228.51,2.29
gate_up,int4,4,51200,5120,93.84,22.35
gate_up,int8,4,51200,5120,229.45,9.14
gate_up,int4,16,51200,5120,103.71,80.89
gate_up,int8,16,51200,5120,228.16,36.77
gate_up,int4,64,51200,5120,115.26,291.12
gate_up,int8,64,51200,5120,262.52,127.82
gate_up,int4,128,51200,5120,150.63,445.52
gate_up,int8,128,51200,5120,329.91,203.42
gate_up,int4,512,51200,5120,559.06,480.16
gate_up,int8,512,51200,5120,1153.83,232.65
gate_up,int4,1024,51200,5120,1099.08,488.47
gate_up,int8,1024,51200,5120,2291.11,234.33
down,int4,1,5120,25600,35.60,7.36
down,int8,1,5120,25600,97.98,2.68
down,int4,4,5120,25600,35.76,29.32
down,int8,4,5120,25600,94.68,11.07
down,int4,16,5120,25600,35.76,117.29
down,int8,16,5120,25600,96.53,43.45
down,int4,64,5120,25600,45.57,368.16
down,int8,64,5120,25600,114.59,146.41
down,int4,128,5120,25600,50.58,663.39
down,int8,128,5120,25600,137.71,243.66
down,int4,512,5120,25600,163.57,820.55
down,int8,512,5120,25600,492.90,272.30
down,int4,1024,5120,25600,329.82,813.88
down,int8,1024,5120,25600,971.87,276.21
