proj,dtype,M,N,K,avg_us,tflops
gate_up,int4,1,51200,5120,119.43,4.39
gate_up,int8,1,51200,5120,229.11,2.29
gate_up,int4,4,51200,5120,119.11,17.61
gate_up,int8,4,51200,5120,231.74,9.05
gate_up,int4,16,51200,5120,119.25,70.34
gate_up,int8,16,51200,5120,230.84,36.34
gate_up,int4,64,51200,5120,133.61,251.14
gate_up,int8,64,51200,5120,263.11,127.53
gate_up,int4,128,51200,5120,160.96,416.93
gate_up,int8,128,51200,5120,327.87,204.68
gate_up,int4,512,51200,5120,583.17,460.30
gate_up,int8,512,51200,5120,1161.75,231.06
gate_up,int4,1024,51200,5120,1181.21,454.51
gate_up,int8,1024,51200,5120,2296.64,233.76
down,int4,1,5120,25600,64.20,4.08
down,int8,1,5120,25600,114.40,2.29
down,int4,4,5120,25600,64.06,16.37
down,int8,4,5120,25600,114.39,9.17
down,int4,16,5120,25600,63.91,65.63
down,int8,16,5120,25600,114.99,36.48
down,int4,64,5120,25600,73.56,228.08
down,int8,64,5120,25600,132.81,126.32
down,int4,128,5120,25600,86.05,389.94
down,int8,128,5120,25600,167.88,199.87
down,int4,512,5120,25600,216.51,619.91
down,int8,512,5120,25600,549.73,244.15
down,int4,1024,5120,25600,389.82,688.61
down,int8,1024,5120,25600,1068.49,251.23
