kernel,M,N,K,avg_us,tflops
torch.mm_bf16,1,51200,5120,422.25,1.24
torch.mm_bf16,4,51200,5120,423.96,4.95
torch.mm_bf16,16,51200,5120,433.78,19.34
torch.mm_bf16,64,51200,5120,474.79,70.67
torch.mm_bf16,128,51200,5120,510.18,131.54
torch.mm_bf16,512,51200,5120,1503.49,178.54
torch.mm_bf16,1024,51200,5120,2668.54,201.19
torch.mm_bf16,1,5120,25600,213.75,1.23
torch.mm_bf16,4,5120,25600,212.67,4.93
torch.mm_bf16,16,5120,25600,216.48,19.38
torch.mm_bf16,64,5120,25600,230.46,72.80
torch.mm_bf16,128,5120,25600,251.34,133.50
torch.mm_bf16,512,5120,25600,756.92,177.32
torch.mm_bf16,1024,5120,25600,1431.17,187.56
npu_quant_matmul_int8,1,51200,5120,264.11,1.99
npu_quant_matmul_int8,4,51200,5120,263.84,7.95
npu_quant_matmul_int8,16,51200,5120,268.91,31.20
npu_quant_matmul_int8,64,51200,5120,206.20,162.72
npu_quant_matmul_int8,128,51200,5120,307.04,218.57
npu_quant_matmul_int8,512,51200,5120,818.75,327.86
npu_quant_matmul_int8,1024,51200,5120,1549.73,346.43
npu_quant_matmul_int8,1,5120,25600,141.27,1.86
npu_quant_matmul_int8,4,5120,25600,138.74,7.56
npu_quant_matmul_int8,16,5120,25600,140.03,29.95
npu_quant_matmul_int8,64,5120,25600,141.98,118.17
npu_quant_matmul_int8,128,5120,25600,151.36,221.69
npu_quant_matmul_int8,512,5120,25600,416.24,322.46
npu_quant_matmul_int8,1024,5120,25600,888.83,302.01
npu_weight_quant_bmm_w4a16,1,51200,5120,749.44,0.70
npu_weight_quant_bmm_w4a16,4,51200,5120,751.47,2.79
npu_weight_quant_bmm_w4a16,16,51200,5120,760.76,11.03
npu_weight_quant_bmm_w4a16,64,51200,5120,789.53,42.50
npu_weight_quant_bmm_w4a16,128,51200,5120,813.01,82.54
npu_weight_quant_bmm_w4a16,512,51200,5120,1191.14,225.36
npu_weight_quant_bmm_w4a16,1024,51200,5120,2488.97,215.70
npu_weight_quant_bmm_w4a16,1,5120,25600,702.32,0.37
npu_weight_quant_bmm_w4a16,4,5120,25600,702.41,1.49
npu_weight_quant_bmm_w4a16,16,5120,25600,706.53,5.94
npu_weight_quant_bmm_w4a16,64,5120,25600,718.59,23.35
npu_weight_quant_bmm_w4a16,128,5120,25600,755.99,44.38
npu_weight_quant_bmm_w4a16,512,5120,25600,949.77,141.32
npu_weight_quant_bmm_w4a16,1024,5120,25600,1657.31,161.97
