kernel,M,N,K,avg_us,tflops
torch.mm_bf16,1,51200,5120,438.79,1.19
torch.mm_bf16,4,51200,5120,442.19,4.74
torch.mm_bf16,16,51200,5120,506.45,16.56
torch.mm_bf16,64,51200,5120,487.66,68.81
torch.mm_bf16,128,51200,5120,522.32,128.48
torch.mm_bf16,512,51200,5120,1544.58,173.79
torch.mm_bf16,1024,51200,5120,2677.35,200.52
torch.mm_bf16,1,5120,25600,217.05,1.21
torch.mm_bf16,4,5120,25600,216.78,4.84
torch.mm_bf16,16,5120,25600,218.72,19.18
torch.mm_bf16,64,5120,25600,236.24,71.02
torch.mm_bf16,128,5120,25600,254.01,132.10
torch.mm_bf16,512,5120,25600,756.07,177.52
torch.mm_bf16,1024,5120,25600,1430.02,187.71
npu_quant_matmul_int8,1,51200,5120,334.70,1.57
npu_quant_matmul_int8,4,51200,5120,331.98,6.32
npu_quant_matmul_int8,16,51200,5120,333.32,25.17
npu_quant_matmul_int8,64,51200,5120,239.99,139.82
npu_quant_matmul_int8,128,51200,5120,340.73,196.95
npu_quant_matmul_int8,512,51200,5120,825.55,325.16
npu_quant_matmul_int8,1024,51200,5120,1573.17,341.27
npu_quant_matmul_int8,1,5120,25600,157.07,1.67
npu_quant_matmul_int8,4,5120,25600,155.29,6.75
npu_quant_matmul_int8,16,5120,25600,157.49,26.63
npu_quant_matmul_int8,64,5120,25600,158.83,105.63
npu_quant_matmul_int8,128,5120,25600,163.14,205.68
npu_quant_matmul_int8,512,5120,25600,447.65,299.82
npu_quant_matmul_int8,1024,5120,25600,962.87,278.79
npu_weight_quant_bmm_w4a16,1,51200,5120,729.11,0.72
npu_weight_quant_bmm_w4a16,4,51200,5120,730.36,2.87
npu_weight_quant_bmm_w4a16,16,51200,5120,734.74,11.42
npu_weight_quant_bmm_w4a16,64,51200,5120,751.40,44.66
npu_weight_quant_bmm_w4a16,128,51200,5120,790.60,84.88
npu_weight_quant_bmm_w4a16,512,51200,5120,1176.81,228.11
npu_weight_quant_bmm_w4a16,1024,51200,5120,2501.29,214.64
npu_weight_quant_bmm_w4a16,1,5120,25600,691.62,0.38
npu_weight_quant_bmm_w4a16,4,5120,25600,691.19,1.52
npu_weight_quant_bmm_w4a16,16,5120,25600,699.27,6.00
npu_weight_quant_bmm_w4a16,64,5120,25600,708.44,23.68
npu_weight_quant_bmm_w4a16,128,5120,25600,751.27,44.66
npu_weight_quant_bmm_w4a16,512,5120,25600,947.87,141.60
npu_weight_quant_bmm_w4a16,1024,5120,25600,1641.47,163.53
