shape,dtype,M,N,K,avg_us,tflops
gate_up,int8,1,51200,5120,229.86,2.28
gate_up,w4a8,1,51200,5120,123.65,4.24
gate_up,int4,1,51200,5120,119.92,4.37
gate_up,int8,4,51200,5120,231.38,9.06
gate_up,w4a8,4,51200,5120,123.31,17.01
gate_up,int4,4,51200,5120,119.16,17.60
gate_up,int8,16,51200,5120,229.69,36.52
gate_up,w4a8,16,51200,5120,122.93,68.24
gate_up,int4,16,51200,5120,119.37,70.27
gate_up,int8,64,51200,5120,264.13,127.04
gate_up,w4a8,64,51200,5120,153.40,218.74
gate_up,int4,64,51200,5120,133.70,250.97
gate_up,int8,128,51200,5120,328.01,204.59
gate_up,w4a8,128,51200,5120,255.60,262.55
gate_up,int4,128,51200,5120,160.71,417.58
gate_up,int8,512,51200,5120,1156.89,232.03
gate_up,w4a8,512,51200,5120,732.13,366.65
gate_up,int4,512,51200,5120,580.47,462.45
gate_up,int8,1024,51200,5120,2284.76,234.98
gate_up,w4a8,1024,51200,5120,1451.16,369.96
gate_up,int4,1024,51200,5120,1181.82,454.27
down,int8,1,5120,25600,115.32,2.27
down,w4a8,1,5120,25600,68.54,3.82
down,int4,1,5120,25600,64.42,4.07
down,int8,4,5120,25600,114.57,9.15
down,w4a8,4,5120,25600,69.41,15.11
down,int4,4,5120,25600,64.14,16.35
down,int8,16,5120,25600,115.48,36.32
down,w4a8,16,5120,25600,69.06,60.73
down,int4,16,5120,25600,64.65,64.88
down,int8,64,5120,25600,132.95,126.19
down,w4a8,64,5120,25600,91.82,182.72
down,int4,64,5120,25600,73.61,227.92
down,int8,128,5120,25600,167.61,200.19
down,w4a8,128,5120,25600,117.45,285.69
down,int4,128,5120,25600,86.55,387.69
down,int8,512,5120,25600,550.98,243.60
down,w4a8,512,5120,25600,341.77,392.71
down,int4,512,5120,25600,214.47,625.81
down,int8,1024,5120,25600,1058.92,253.50
down,w4a8,1024,5120,25600,653.07,411.04
down,int4,1024,5120,25600,394.47,680.50
