shape,dtype,M,N,K,avg_us,tflops
square,int8,512,512,512,12.74,21.07
square,w4a8,512,512,512,14.42,18.62
square,int4,512,512,512,12.32,21.79
square,int8,1024,1024,1024,20.90,102.75
square,w4a8,1024,1024,1024,24.01,89.44
square,int4,1024,1024,1024,18.29,117.41
square,int8,2048,2048,2048,58.95,291.43
square,w4a8,2048,2048,2048,60.50,283.96
square,int4,2048,2048,2048,44.43,386.67
square,int8,4096,4096,4096,342.16,401.68
square,w4a8,4096,4096,4096,324.61,423.40
square,int4,4096,4096,4096,198.16,693.58
square,int8,8192,8192,8192,2813.92,390.74
square,w4a8,8192,8192,8192,2546.44,431.78
square,int4,8192,8192,8192,1416.09,776.44
